Region,SUBREGCluster,SUBREGClusterDummy,SUBREG_GRP,SUBREG_GRPDummy,SUBREG,TAZ
1,2,2,5,5,22,22540
1,2,2,5,5,22,22550
1,2,2,5,5,22,22560
1,2,2,5,5,22,22570
1,2,2,5,5,22,22580
1,2,2,5,5,22,22590
1,2,2,5,5,22,22600
1,2,2,5,5,22,22610
1,2,2,5,5,22,22620
1,2,2,4,4,21,22630
1,2,2,4,4,21,22640
1,2,2,4,4,21,22650
1,2,2,5,5,22,22660
1,2,2,5,5,22,22670
1,2,2,5,5,22,22680
1,2,2,5,5,22,22690
1,2,2,5,5,22,22700
1,2,2,5,5,22,22710
1,2,2,5,5,22,22720
1,2,2,5,5,22,22730
1,2,2,5,5,22,22740
1,2,2,5,5,22,22750
1,2,2,5,5,22,22760
1,2,2,5,5,22,22770
1,2,2,5,5,22,22780
1,2,2,5,5,22,22790
1,2,2,5,5,22,22800
1,2,2,5,5,22,22810
1,2,2,5,5,22,22820
1,2,2,5,5,22,22830
1,2,2,5,5,22,22840
1,2,2,5,5,22,22850
1,2,2,5,5,22,22860
1,2,2,5,5,22,22870
1,2,2,5,5,22,22880
1,2,2,5,5,22,22890
1,2,2,5,5,22,22900
1,2,2,5,5,22,22910
1,2,2,9,9,36,23010
1,2,2,9,9,36,23020
1,2,2,9,9,36,23030
1,2,2,9,9,36,23040
1,2,2,9,9,36,23050
1,2,2,9,9,36,23060
1,2,2,9,9,36,23080
1,2,2,6,6,33,23090
1,2,2,6,6,33,23100
1,2,2,6,6,33,23110
1,2,2,6,6,33,23120
1,2,2,9,9,36,23210
1,2,2,6,6,33,23250
1,2,2,9,9,36,23130
1,2,2,9,9,36,23140
1,2,2,9,9,36,23150
1,2,2,9,9,36,23160
1,2,2,9,9,36,23170
1,2,2,9,9,36,23180
1,2,2,9,9,36,23190
1,2,2,9,9,36,23200
1,2,2,6,6,33,23220
1,2,2,6,6,33,23230
1,2,2,6,6,33,23240
1,2,2,6,6,33,23260
1,2,2,6,6,33,23270
1,2,2,6,6,33,23280
1,2,2,6,6,33,23290
1,2,2,6,6,33,23300
1,2,2,6,6,33,23310
1,2,2,6,6,33,23320
1,2,2,6,6,33,23330
1,2,2,9,9,36,23340
1,2,2,9,9,36,23350
1,2,2,9,9,36,23360
1,2,2,9,9,36,23370
1,2,2,6,6,33,23380
1,2,2,6,6,33,23390
1,2,2,6,6,33,23400
1,2,2,6,6,33,23410
1,2,2,6,6,33,23420
1,2,2,6,6,33,23430
1,2,2,9,9,36,23440
1,2,2,9,9,36,23450
1,2,2,9,9,36,23460
1,2,2,9,9,36,23470
1,2,2,9,9,36,23480
1,2,2,9,9,36,23490
1,2,2,9,9,36,23500
1,2,2,6,6,33,23510
1,2,2,6,6,33,23520
1,2,2,6,6,33,23530
1,2,2,6,6,33,23540
1,2,2,6,6,33,23550
1,2,2,6,6,33,23560
1,3,3,8,8,35,23570
1,4,4,7,7,34,23580
1,4,4,7,7,34,23590
1,4,4,7,7,34,23600
1,3,3,8,8,35,23610
1,3,3,8,8,35,23620
1,3,3,8,8,35,23630
1,3,3,8,8,35,23640
1,4,4,7,7,34,23650
1,3,3,8,8,35,23660
1,3,3,8,8,35,23670
1,4,4,7,7,34,23680
1,4,4,7,7,34,23690
1,4,4,7,7,34,23700
1,3,3,8,8,35,23710
1,3,3,8,8,35,23720
1,3,3,8,8,35,23730
1,3,3,8,8,35,23740
1,3,3,8,8,35,23750
1,3,3,8,8,35,23760
1,4,4,7,7,34,23770
1,4,4,7,7,34,23780
1,4,4,7,7,34,23790
1,4,4,7,7,34,23800
1,4,4,7,7,34,23810
1,3,3,8,8,35,24010
1,3,3,8,8,35,24020
1,4,4,7,7,34,24030
1,3,3,8,8,35,24040
1,3,3,8,8,35,24050
1,3,3,8,8,35,24060
1,3,3,8,8,35,24070
1,3,3,8,8,35,24080
1,3,3,8,8,35,24090
1,4,4,7,7,34,24100
1,4,4,7,7,34,24110
1,4,4,7,7,34,24120
1,3,3,8,8,35,24150
1,3,3,8,8,35,24140
1,3,3,8,8,35,24160
1,3,3,8,8,35,24170
1,3,3,8,8,35,24180
1,3,3,8,8,35,24190
1,3,3,8,8,35,24200
1,4,4,7,7,34,24210
1,4,4,7,7,34,24220
1,4,4,7,7,34,24230
1,4,4,7,7,34,24240
1,4,4,7,7,34,24250
1,3,3,8,8,35,24260
1,3,3,8,8,35,24270
1,3,3,8,8,35,24280
1,4,4,7,7,34,24290
1,3,3,8,8,35,24300
1,4,4,7,7,34,24310
1,4,4,7,7,34,24320
1,3,3,8,8,35,24350
1,4,4,7,7,34,24360
1,3,3,8,8,35,24330
1,3,3,8,8,35,24340
1,4,4,7,7,34,24370
1,4,4,7,7,34,24380
1,4,4,7,7,34,24390
1,3,3,8,8,35,24400
1,4,4,7,7,34,24410
1,4,4,7,7,34,24420
1,4,4,7,7,34,24460
1,4,4,7,7,34,24430
1,4,4,7,7,34,24440
1,4,4,7,7,34,24450
1,4,4,7,7,34,24470
1,4,4,11,11,38,25010
1,4,4,11,11,38,25060
1,2,2,11,11,39,25020
1,2,2,11,11,39,25030
1,2,2,11,11,39,25040
1,4,4,11,11,38,25050
1,4,4,11,11,38,25070
1,4,4,11,11,38,25080
1,2,2,11,11,39,25100
1,2,2,11,11,39,25090
1,2,2,11,11,39,25110
1,2,2,11,11,39,25120
1,2,2,11,11,39,25130
1,2,2,11,11,39,25140
1,4,4,11,11,38,25150
1,4,4,11,11,38,25260
1,4,4,11,11,38,25270
1,2,2,11,11,39,25160
1,2,2,11,11,39,25170
1,2,2,11,11,39,25180
1,2,2,11,11,39,25190
1,2,2,11,11,39,25200
1,2,2,11,11,39,25210
1,2,2,11,11,39,25220
1,2,2,11,11,39,25230
1,2,2,11,11,39,25240
1,4,4,11,11,38,25250
1,2,2,11,11,39,25280
1,2,2,11,11,39,25290
1,4,4,11,11,38,25300
1,2,2,11,11,39,25310
1,2,2,11,11,39,25320
1,2,2,11,11,39,25330
1,2,2,11,11,39,25340
1,2,2,11,11,39,25350
1,4,4,11,11,38,25360
1,4,4,11,11,38,25370
1,2,2,11,11,39,25380
1,4,4,11,11,38,25390
1,2,2,6,6,33,25400
1,2,2,11,11,39,25410
1,2,2,11,11,39,25420
1,4,4,11,11,38,25430
1,4,4,11,11,38,25440
1,4,4,11,11,38,25450
1,4,4,11,11,38,25460
1,2,2,6,6,33,25470
1,2,2,6,6,33,25480
1,2,2,6,6,33,25490
1,2,2,11,11,39,25500
1,4,4,11,11,38,25510
1,2,2,6,6,33,25520
1,2,2,6,6,33,25530
1,2,2,6,6,33,25540
1,2,2,11,11,39,25550
1,2,2,11,11,39,25560
1,4,4,11,11,38,25570
1,4,4,11,11,38,25580
1,4,4,11,11,38,25590
1,4,4,11,11,38,25600
1,4,4,11,11,38,25610
1,2,2,6,6,33,25620
1,2,2,6,6,33,25630
1,4,4,11,11,38,25640
1,4,4,11,11,38,25650
1,4,4,7,7,34,25660
1,4,4,11,11,38,25670
1,4,4,11,11,38,25680
1,4,4,11,11,38,25690
1,4,4,11,11,38,25700
1,4,4,11,11,38,25710
1,4,4,11,11,38,25720
1,4,4,11,11,38,25730
1,4,4,7,7,34,25740
1,4,4,11,11,38,25750
1,4,4,11,11,38,25760
1,4,4,11,11,38,25770
1,4,4,11,11,38,25780
1,4,4,11,11,38,25790
1,4,4,11,11,38,25800
1,4,4,11,11,38,25810
1,4,4,11,11,38,25820
1,4,4,11,11,38,25830
1,4,4,7,7,34,25840
1,4,4,7,7,34,25850
1,4,4,11,11,38,25860
1,4,4,11,11,38,25870
1,4,4,11,11,38,25880
1,4,4,11,11,38,25890
1,4,4,11,11,38,25900
1,4,4,11,11,38,25910
1,4,4,11,11,38,25920
1,4,4,11,11,38,26010
1,4,4,11,11,38,26020
1,4,4,11,11,38,26030
1,4,4,11,11,38,26090
1,4,4,11,11,38,26110
1,4,4,7,7,34,24130
1,4,4,7,7,34,26040
1,4,4,10,10,37,26050
1,4,4,10,10,37,26060
1,4,4,10,10,37,26070
1,4,4,10,10,37,26080
1,4,4,11,11,38,26100
1,4,4,10,10,37,26120
1,4,4,10,10,37,26130
1,4,4,10,10,37,26140
1,4,4,10,10,37,26150
1,4,4,11,11,38,26160
1,4,4,10,10,37,26170
1,4,4,11,11,38,26180
1,4,4,11,11,38,26190
1,4,4,7,7,34,26200
1,4,4,10,10,37,26210
1,4,4,10,10,37,26220
1,4,4,10,10,37,26230
1,4,4,10,10,37,26240
1,4,4,10,10,37,26250
1,4,4,10,10,37,26280
1,4,4,10,10,37,26290
1,4,4,7,7,34,26260
1,4,4,10,10,37,26270
1,4,4,10,10,37,26300
1,4,4,10,10,37,26310
1,4,4,10,10,37,26320
1,4,4,10,10,37,26330
1,4,4,7,7,34,26340
1,4,4,10,10,37,26350
1,4,4,10,10,37,26360
1,4,4,10,10,37,26370
1,4,4,10,10,37,26380
1,4,4,10,10,37,26390
1,4,4,10,10,37,26400
1,4,4,7,7,34,26410
1,4,4,10,10,37,26420
1,4,4,10,10,37,26430
1,4,4,7,7,34,26440
1,4,4,10,10,37,26490
1,4,4,10,10,37,26450
1,4,4,10,10,37,26460
1,4,4,10,10,37,26470
1,4,4,10,10,37,26480
1,4,4,7,7,34,26500
1,4,4,10,10,37,26510
1,4,4,10,10,37,26520
1,4,4,10,10,37,26530
1,4,4,10,10,37,26570
1,4,4,7,7,34,26540
1,4,4,10,10,37,26550
1,4,4,10,10,37,26560
1,4,4,10,10,37,26580
1,4,4,10,10,37,26590
1,4,4,10,10,37,26600
1,2,2,12,12,41,27010
1,2,2,12,12,41,27020
1,2,2,12,12,41,27030
1,2,2,12,12,41,27040
1,2,2,12,12,41,27050
1,2,2,12,12,41,27060
1,2,2,12,12,41,27070
1,2,2,12,12,41,27080
1,2,2,12,12,41,27090
1,2,2,12,12,41,27100
1,3,3,16,16,44,27160
1,2,2,12,12,41,27110
1,2,2,12,12,41,27120
1,2,2,12,12,41,27130
1,2,2,12,12,41,27140
1,3,3,16,16,44,27150
1,3,3,16,16,44,27170
1,2,2,12,12,41,27190
1,3,3,16,16,44,27250
1,2,2,12,12,41,27180
1,2,2,12,12,41,27200
1,2,2,12,12,41,27210
1,2,2,12,12,41,27220
1,2,2,12,12,41,27230
1,3,3,16,16,44,27240
1,2,2,12,12,41,27260
1,2,2,12,12,41,27270
1,2,2,12,12,41,27280
1,3,3,16,16,44,27290
1,2,2,12,12,41,27350
1,3,3,16,16,44,27390
1,2,2,12,12,41,27300
1,2,2,12,12,41,27310
1,2,2,12,12,41,27320
1,2,2,12,12,41,27330
1,2,2,12,12,41,27340
1,2,2,12,12,41,27360
1,2,2,12,12,41,27370
1,3,3,16,16,44,27380
1,3,3,16,16,44,27400
1,3,3,16,16,44,27410
1,2,2,12,12,41,27420
1,2,2,12,12,41,27430
1,2,2,12,12,41,27440
1,2,2,12,12,41,27450
1,1,1,14,14,42.2,27460
1,1,1,14,14,42.2,27470
1,2,2,12,12,41,27480
1,3,3,16,16,44,27490
1,3,3,16,16,44,27500
1,3,3,16,16,44,27510
1,3,3,16,16,44,27520
1,3,3,16,16,44,27530
1,3,3,16,16,44,27540
1,2,2,12,12,41,27550
1,3,3,16,16,44,27560
1,3,3,16,16,44,27570
1,3,3,16,16,44,27580
1,3,3,16,16,44,27590
1,3,3,16,16,44,27600
1,3,3,16,16,44,27610
1,3,3,16,16,44,27620
1,3,3,16,16,44,27630
1,3,3,16,16,44,27640
1,3,3,16,16,44,27650
1,3,3,15,15,43,27660
1,1,1,14,14,42.2,28010
1,1,1,14,14,42.2,28020
1,1,1,14,14,42.2,28030
1,2,2,12,12,41,28040
1,1,1,14,14,42.2,28050
1,1,1,14,14,42.2,28070
1,1,1,14,14,42.2,28080
1,1,1,14,14,42.2,28060
1,1,1,14,14,42.2,28090
1,2,2,12,12,41,28100
1,1,1,14,14,42.2,28110
1,1,1,14,14,42.2,28120
1,1,1,14,14,42.2,28130
1,3,3,15,15,43,28140
1,3,3,15,15,43,28150
1,3,3,15,15,43,28160
1,1,1,14,14,42.2,28190
1,1,1,13,13,42.1,28170
1,1,1,13,13,42.1,28180
1,1,1,14,14,42.2,28200
1,3,3,15,15,43,28210
1,3,3,15,15,43,28220
1,3,3,15,15,43,28230
1,1,1,14,14,42.2,28260
1,3,3,15,15,43,28280
1,1,1,13,13,42.1,28240
1,1,1,13,13,42.1,28250
1,3,3,15,15,43,28270
1,1,1,13,13,42.1,28290
1,3,3,15,15,43,28300
1,3,3,15,15,43,28310
1,1,1,13,13,42.1,28320
1,1,1,13,13,42.1,28330
1,1,1,14,14,42.2,28340
1,3,3,15,15,43,28350
1,1,1,13,13,42.1,28370
1,1,1,13,13,42.1,28380
1,1,1,13,13,42.1,28390
1,1,1,14,14,42.2,28400
1,3,3,15,15,43,28410
1,1,1,14,14,42.2,28420
1,3,3,15,15,43,28430
1,3,3,15,15,43,28440
1,1,1,14,14,42.2,28450
1,1,1,14,14,42.2,28460
1,1,1,14,14,42.2,28470
1,3,3,15,15,43,28480
1,3,3,15,15,43,28490
1,3,3,15,15,43,28500
1,3,3,15,15,43,28510
1,3,3,15,15,43,28520
1,1,1,14,14,42.2,28530
1,1,1,14,14,42.2,28540
1,3,3,15,15,43,28550
1,3,3,15,15,43,28560
1,3,3,15,15,43,28570
1,3,3,15,15,43,28580
1,3,3,15,15,43,28600
1,3,3,15,15,43,28590
1,3,3,15,15,43,28610
1,3,3,15,15,43,28620
1,3,3,15,15,43,28630
1,3,3,15,15,43,28640
1,3,3,15,15,43,28650
1,3,3,15,15,43,28660
1,3,3,15,15,43,28670
1,3,3,15,15,43,28680
1,3,3,15,15,43,28700
1,3,3,15,15,43,28730
1,3,3,15,15,43,28690
1,3,3,15,15,43,28710
1,3,3,15,15,43,28720
1,3,3,15,15,43,28740
1,3,3,15,15,43,28750
1,2,2,18,18,47.2,29010
1,2,2,18,18,47.2,29020
1,2,2,18,18,47.2,29030
1,2,2,18,18,47.2,29040
1,2,2,18,18,47.2,29050
1,2,2,18,18,47.2,29090
1,2,2,18,18,47.2,29100
1,2,2,18,18,47.2,29060
1,2,2,18,18,47.2,29070
1,2,2,18,18,47.2,29080
1,2,2,18,18,47.2,29110
1,2,2,18,18,47.2,29120
1,2,2,18,18,47.2,29150
1,2,2,18,18,47.2,29130
1,2,2,18,18,47.2,29140
1,2,2,18,18,47.2,29160
1,2,2,18,18,47.2,29200
1,2,2,18,18,47.2,29210
1,2,2,18,18,47.2,29170
1,2,2,18,18,47.2,29180
1,2,2,18,18,47.2,29190
1,2,2,18,18,47.2,29240
1,2,2,18,18,47.2,29250
1,2,2,18,18,47.2,29220
1,2,2,18,18,47.2,29230
1,1,1,17,17,47.1,29260
1,2,2,18,18,47.2,29300
1,2,2,18,18,47.2,29270
1,2,2,18,18,47.2,29280
1,2,2,18,18,47.2,29290
1,1,1,17,17,47.1,29310
1,1,1,17,17,47.1,29320
1,2,2,18,18,47.2,29330
1,2,2,18,18,47.2,29340
1,1,1,17,17,47.1,29350
1,1,1,17,17,47.1,29360
1,2,2,18,18,47.2,29370
1,1,1,17,17,47.1,29380
1,2,2,18,18,47.2,29390
1,2,2,18,18,47.2,29400
1,2,2,18,18,47.2,29410
1,2,2,18,18,47.2,29420
1,2,2,18,18,47.2,29430
1,2,2,18,18,47.2,29440
1,2,2,18,18,47.2,29450
1,1,1,19,19,51.1,31010
1,1,1,19,19,51.1,31020
1,1,1,19,19,51.1,31030
1,1,1,19,19,51.1,31040
1,1,1,19,19,51.1,31050
1,1,1,19,19,51.1,31060
1,1,1,19,19,51.1,31070
1,1,1,19,19,51.1,31080
1,1,1,19,19,51.1,31090
1,1,1,19,19,51.1,31100
1,1,1,19,19,51.1,31130
1,1,1,19,19,51.1,31150
1,1,1,19,19,51.1,31110
1,1,1,19,19,51.1,31120
1,1,1,19,19,51.1,31140
1,1,1,19,19,51.1,31180
1,1,1,19,19,51.1,31200
1,1,1,19,19,51.1,31160
1,1,1,19,19,51.1,31170
1,1,1,19,19,51.1,31190
1,1,1,19,19,51.1,31250
1,1,1,19,19,51.1,31210
1,1,1,19,19,51.1,31220
1,1,1,19,19,51.1,31230
1,1,1,19,19,51.1,31240
1,1,1,20,20,52.1,32010
1,3,3,20,20,53.2,32020
1,1,1,20,20,52.1,32030
1,1,1,20,20,52.1,32040
1,3,3,20,20,53.2,32090
1,1,1,20,20,53.1,32050
1,1,1,20,20,53.1,32060
1,3,3,20,20,53.2,32070
1,3,3,20,20,53.2,32080
1,3,3,20,20,53.2,32100
1,1,1,20,20,53.1,32120
1,1,1,20,20,53.1,32140
1,1,1,20,20,53.1,32150
1,1,1,20,20,53.1,32160
1,3,3,20,20,53.2,32170
1,3,3,20,20,53.2,32180
1,3,3,20,20,53.2,32190
1,3,3,20,20,53.2,32200
1,1,1,20,20,53.1,32210
1,3,3,20,20,53.2,32220
1,3,3,20,20,53.2,32230
1,3,3,20,20,53.2,32240
1,1,1,20,20,53.1,32250
1,3,3,20,20,53.2,32260
1,3,3,20,20,53.2,32270
1,3,3,20,20,53.2,32280
1,1,1,20,20,53.1,32290
1,3,3,20,20,53.2,32300
1,3,3,20,20,53.2,32360
1,1,1,20,20,53.1,32310
1,1,1,20,20,53.1,32320
1,3,3,20,20,53.2,32330
1,3,3,20,20,53.2,32340
1,3,3,20,20,53.2,32350
1,1,1,20,20,53.1,32370
1,3,3,20,20,53.2,32380
1,3,3,20,20,53.2,32390
1,3,3,20,20,53.2,32400
1,1,1,20,20,53.1,32410
1,1,1,20,20,53.1,32420
1,3,3,20,20,53.2,32430
1,3,3,20,20,53.2,32440
1,3,3,20,20,53.2,32450
1,3,3,20,20,53.2,32520
1,1,1,20,20,53.1,32460
1,1,1,20,20,53.1,32470
1,1,1,20,20,53.1,32480
1,3,3,20,20,53.2,32490
1,3,3,20,20,53.2,32500
1,3,3,20,20,53.2,32510
1,3,3,20,20,53.2,32530
1,3,3,20,20,53.2,32540
1,3,3,20,20,53.2,32550
1,3,3,20,20,53.2,32560
1,3,3,20,20,53.2,32570
1,3,3,20,20,53.2,32580
1,3,3,20,20,53.2,32590
1,3,3,20,20,53.2,32630
1,3,3,20,20,53.2,32610
1,3,3,20,20,53.2,32620
1,3,3,20,20,53.2,32640
1,3,3,20,20,52.2,33010
1,3,3,20,20,52.2,33020
1,3,3,20,20,52.2,33030
1,3,3,20,20,52.2,33040
1,3,3,20,20,52.2,33050
1,3,3,20,20,52.2,33060
1,3,3,20,20,52.2,33070
1,3,3,20,20,52.2,33080
1,3,3,20,20,52.2,33090
1,3,3,20,20,52.2,33100
1,3,3,20,20,52.2,33110
1,3,3,20,20,52.2,33120
1,3,3,20,20,52.2,33130
1,3,3,20,20,52.2,33140
1,3,3,20,20,52.2,33150
1,3,3,20,20,52.2,33160
1,3,3,20,20,52.2,33170
1,3,3,20,20,52.2,33230
1,3,3,20,20,52.2,33240
1,3,3,20,20,52.2,33180
1,3,3,20,20,52.2,33190
1,1,1,20,20,52.1,33200
1,3,3,20,20,52.2,33210
1,3,3,20,20,52.2,33220
1,1,1,20,20,52.1,33250
1,3,3,20,20,52.2,33260
1,3,3,20,20,52.2,33270
1,1,1,20,20,52.1,33280
1,3,3,20,20,52.2,33290
1,1,1,20,20,52.1,33300
1,1,1,20,20,52.1,33310
1,3,3,21,21,55,34010
1,3,3,21,21,55,34020
1,3,3,21,21,55,34060
1,3,3,21,21,55,34030
1,3,3,21,21,55,34040
1,3,3,21,21,55,34050
1,3,3,21,21,55,34070
1,3,3,21,21,55,34080
1,3,3,20,20,53.2,32110
1,3,3,21,21,55,34090
1,3,3,21,21,55,34100
1,3,3,21,21,55,34110
1,3,3,21,21,55,34140
1,3,3,20,20,53.2,32130
1,3,3,21,21,55,34120
1,3,3,21,21,55,34130
1,3,3,21,21,55,34150
1,3,3,21,21,55,34160
1,3,3,21,21,55,34170
1,3,3,21,21,55,34180
1,3,3,21,21,55,34190
1,3,3,21,21,55,34200
1,3,3,21,21,55,34210
1,3,3,21,21,55,34220
1,3,3,21,21,55,34230
1,3,3,21,21,55,34240
1,3,3,21,21,55,34250
1,3,3,21,21,55,34260
1,3,3,21,21,55,34270
1,3,3,21,21,55,34280
1,3,3,21,21,55,34290
1,1,1,19,19,51.3,35010
1,1,1,19,19,51.3,35020
1,1,1,19,19,51.2,35030
1,1,1,19,19,51.2,35040
1,1,1,19,19,51.3,35050
1,1,1,21,21,56,41010
1,1,1,21,21,56,41030
1,1,1,21,21,56,41040
1,1,1,21,21,56,41050
1,1,1,21,21,56,41060
1,1,1,21,21,56,41070
1,1,1,21,21,56,41080
1,1,1,21,21,56,41090
1,1,1,21,21,56,41100
1,1,1,21,21,56,41110
1,1,1,21,21,56,41120
1,1,1,21,21,56,41130
1,3,3,23,23,57.2,42010
1,3,3,23,23,57.2,42020
1,3,3,23,23,57.2,42030
1,3,3,23,23,57.2,42040
1,3,3,23,23,57.2,42050
1,3,3,23,23,57.2,42060
1,3,3,23,23,57.2,42090
1,3,3,23,23,57.2,42100
1,3,3,23,23,57.2,42070
1,3,3,23,23,57.2,42080
1,3,3,23,23,57.2,42110
1,3,3,23,23,57.2,42120
1,3,3,23,23,57.2,42140
1,3,3,23,23,57.2,42130
1,3,3,23,23,57.2,42150
1,1,1,22,22,57.1,42160
1,1,1,22,22,57.1,42170
1,3,3,23,23,57.2,42180
1,3,3,23,23,57.2,42190
1,3,3,23,23,57.2,42200
1,3,3,23,23,57.2,42210
1,3,3,23,23,57.2,42220
1,1,1,22,22,57.1,42230
1,1,1,22,22,57.1,42240
1,1,1,22,22,57.1,42250
1,3,3,23,23,57.2,42260
1,3,3,23,23,57.2,42270
1,1,1,22,22,57.1,42300
1,3,3,23,23,57.2,42280
1,3,3,23,23,57.2,42290
1,3,3,23,23,57.2,42310
1,3,3,23,23,57.2,42320
1,1,1,22,22,57.1,42330
1,3,3,23,23,57.2,42340
1,3,3,23,23,57.2,42350
1,3,3,23,23,57.2,42360
1,3,3,23,23,57.2,42370
1,3,3,23,23,57.2,42380
1,3,3,23,23,57.2,42390
