hhID,SUBREG,SUBREG_GRP,SUBREGCluster,HHSize,HHIncome,HHDwelling,HHChildren,HHweight,SUBREG_GRPDummy,SUBREGClusterDummy
24442,79,36,1,2,3,1,0,71.93430984,36,1
24443,38,11,4,2,2,1,0,34.36724645,11,4
24444,11.1,1,2,1,2,1,0,38.66814155,1,2
24445,51.1,19,1,2,2,1,0,32.82337558,19,1
24446,39,11,2,3,2,2,1,34.36724645,11,2
24447,35,8,3,2,3,1,0,33.68115209,8,3
24448,51.1,19,1,2,3,1,0,32.82337558,19,1
24449,57.2,23,3,3,2,1,1,38.236955,23,3
24450,52.2,20,3,2,3,1,0,37.15883436,20,3
24451,61,24,3,3,1,2,0,46.18484884,24,3
24452,83,39,3,2,2,1,0,37.06229615,39,3
24453,47.2,18,2,4,3,1,1,12.63544814,18,2
24454,51.1,19,1,2,2,1,0,32.82337558,19,1
24456,12,2,4,2,3,2,0,20.3367354,2,4
24457,77,35,4,2,3,2,0,38.01839415,35,4
24458,96,44,3,2,1,1,0,47.7524933,44,3
24459,21,4,2,1,1,2,0,29.76898566,4,2
24460,92,40,4,4,3,1,0,134.5328228,40,4
24461,68,28,3,3,2,1,0,29.48582053,28,3
24462,12,2,4,4,3,1,1,9.151530931,2,4
24463,55,21,3,2,2,1,0,38.37644494,21,3
24464,92,40,4,2,3,1,0,86.10151938,40,4
24465,96,44,3,2,2,1,0,47.7524933,44,3
24466,68,28,3,2,3,1,0,29.48582053,28,3
24467,38,11,4,2,3,1,0,34.36724645,11,4
24468,81,37,1,2,3,1,0,41.63658283,37,1
24469,53.1,20,1,1,1,2,0,37.15883436,20,1
24470,52.2,20,3,3,2,2,1,37.15883436,20,3
24471,53.1,20,1,2,3,1,0,37.15883436,20,1
24472,74,33,4,3,2,2,1,69.66809669,33,4
24473,93,41,3,2,3,1,0,44.75355287,41,3
24474,53.2,20,3,3,3,1,1,78.73053833,20,3
24475,35,8,3,2,3,1,0,33.68115209,8,3
24476,94,42,4,2,3,1,0,45.22586873,42,4
24477,33,6,2,1,2,2,0,24.16290488,6,2
24478,22,5,2,1,3,2,0,37.35369136,5,2
24479,57.1,22,1,1,2,2,0,69.93333333,22,1
24480,44,16,3,2,2,2,0,36.22521005,16,3
24481,47.1,17,1,2,2,2,0,16.84120461,17,1
24482,12,2,4,2,3,1,0,20.3367354,2,4
24483,22,5,2,1,3,2,0,37.35369136,5,2
24484,73,32,3,2,1,1,0,50.0922619,32,3
24485,33,6,2,2,2,2,0,24.16290488,6,2
24486,44,16,3,2,2,2,0,36.22521005,16,3
24487,51.1,19,1,2,2,2,0,32.82337558,19,1
24488,52.2,20,3,1,2,2,0,37.15883436,20,3
24490,42.2,14,1,2,1,2,0,38.48608728,14,1
24491,57.2,23,3,2,1,1,0,38.236955,23,3
24492,94,42,4,2,1,2,0,45.22586873,42,4
24493,41,12,2,4,1,2,1,16.85220703,12,2
24494,77,35,4,2,3,2,0,38.01839415,35,4
24495,41,12,2,1,1,2,0,37.44934896,12,2
24496,42.1,13,1,2,1,2,0,37.91466497,13,1
24497,53.1,20,1,3,1,2,0,37.15883436,20,1
24498,62.1,25,2,1,1,2,0,51.49353372,25,2
24499,52.1,20,1,1,3,2,0,37.15883436,20,1
24500,55,21,3,3,2,2,1,38.37644494,21,3
24501,33,6,2,1,1,2,0,24.16290488,6,2
24502,47.2,18,2,2,2,2,0,35.26367329,18,2
24503,41,12,2,4,2,2,0,16.85220703,12,2
24504,34,7,4,1,2,2,0,35.08183565,7,4
24505,57.2,23,3,2,2,1,0,38.236955,23,3
24506,12,2,4,2,2,1,0,20.3367354,2,4
24507,12,2,4,4,2,1,1,9.151530931,2,4
24508,75,34,3,2,1,1,0,36.64959926,34,3
24509,62.2,26,4,1,1,2,0,40.292277,26,4
24510,74,33,4,4,1,1,1,31.35064351,33,4
24511,72,31,3,4,3,1,0,140.3208948,31,3
24512,13.1,3,1,3,1,2,0,32.17161866,3,1
24513,75,34,3,2,2,1,1,36.64959926,34,3
24514,12,2,4,3,3,1,0,20.3367354,2,4
24515,33,6,2,1,1,2,0,24.16290488,6,2
24516,61,24,3,2,1,1,0,46.18484884,24,3
24517,38,11,4,2,1,1,0,34.36724645,11,4
24518,92,40,4,2,2,1,0,59.0185667,40,4
24519,12,2,4,2,2,1,1,20.3367354,2,4
24520,53.1,20,1,2,2,1,0,37.15883436,20,1
24521,75,34,3,4,3,1,1,16.49231967,34,3
24522,51.1,19,1,3,2,1,0,32.82337558,19,1
24523,12,2,4,1,2,1,0,20.3367354,2,4
24524,47.2,18,2,1,1,2,0,28.07877365,18,2
24525,71.2,30,3,4,2,1,1,90.41402047,30,3
24526,55,21,3,4,3,1,1,17.26940022,21,3
24527,53.2,20,3,3,2,1,0,37.15883436,20,3
24528,42.1,13,1,2,2,2,0,37.91466497,13,1
24529,35,8,3,1,1,1,0,33.68115209,8,3
24530,62.1,25,2,2,1,2,0,51.49353372,25,2
24531,41,12,2,2,1,2,0,37.44934896,12,2
24532,21,4,2,4,2,2,1,13.39604355,4,2
24533,83,39,3,4,3,1,1,16.67803327,39,3
24534,68,28,3,3,2,1,0,29.48582053,28,3
24535,12,2,4,4,3,2,1,9.151530931,2,4
24536,61,24,3,4,3,1,0,20.78318198,24,3
24537,94,42,4,2,3,1,0,45.22586873,42,4
24538,92,40,4,2,3,1,0,59.0185667,40,4
24539,41,12,2,2,1,2,0,37.44934896,12,2
24540,33,6,2,4,3,2,1,13.68327544,6,2
24541,33,6,2,1,2,2,0,24.16290488,6,2
24542,69,29,3,2,3,1,0,42.86345741,29,3
24543,37,10,4,2,3,1,0,47.84701718,10,4
24544,38,11,4,1,1,2,0,34.36724645,11,4
24545,57.2,23,3,3,3,1,1,38.236955,23,3
24546,55,21,3,2,1,1,0,38.37644494,21,3
24547,68,28,3,2,2,1,0,29.48582053,28,3
24548,36,9,2,2,2,2,0,46.54388731,9,2
24549,42.2,14,1,2,1,2,0,38.48608728,14,1
24550,35,8,3,2,3,1,0,33.68115209,8,3
24551,13.2,3,1,4,3,2,1,14.4772284,3,1
24552,96,44,3,2,2,1,0,47.7524933,44,3
24553,55,21,3,4,2,1,1,17.26940022,21,3
24554,93,41,3,2,3,1,0,44.75355287,41,3
24555,42.2,14,1,1,1,1,0,38.48608728,14,1
24556,22,5,2,1,2,2,0,37.35369136,5,2
24557,21,4,2,3,2,2,0,29.76898566,4,2
24558,38,11,4,2,2,1,0,34.36724645,11,4
24559,73,32,3,2,2,1,0,50.0922619,32,3
24560,94,42,4,2,2,1,0,45.22586873,42,4
24561,33,6,2,1,2,2,0,24.16290488,6,2
24562,55,21,3,2,1,1,0,38.37644494,21,3
24563,38,11,4,1,2,2,0,34.36724645,11,4
24564,62.2,26,4,3,2,1,1,40.292277,26,4
24565,55,21,3,2,2,1,0,38.37644494,21,3
24566,33,6,2,1,1,2,0,24.16290488,6,2
24567,34,7,4,2,3,1,0,35.08183565,7,4
24568,12,2,4,1,3,2,0,20.3367354,2,4
24569,71.1,30,1,2,1,2,0,39.66397038,30,1
24570,33,6,2,1,2,2,0,24.16290488,6,2
24571,38,11,4,1,2,1,0,34.36724645,11,4
24572,13.1,3,1,3,2,2,0,32.17161866,3,1
24573,94,42,4,2,2,1,0,45.22586873,42,4
24574,92,40,4,2,3,1,0,86.10151938,40,4
24575,35,8,3,2,3,1,0,33.68115209,8,3
24576,52.2,20,3,2,3,2,0,37.15883436,20,3
24577,38,11,4,3,3,1,0,34.36724645,11,4
24578,47.2,18,2,2,3,2,0,28.07877365,18,2
24579,93,41,3,1,1,1,0,44.75355287,41,3
24580,36,9,2,1,3,2,0,27.40659837,9,2
24581,34,7,4,1,1,1,0,35.08183565,7,4
24582,53.1,20,1,3,3,1,1,37.15883436,20,1
24583,68,28,3,1,1,1,0,29.48582053,28,3
24584,53.1,20,1,2,1,2,0,37.15883436,20,1
24585,37,10,4,3,1,1,0,47.84701718,10,4
24586,62.2,26,4,2,2,1,0,40.292277,26,4
24587,73,32,3,3,2,1,1,50.0922619,32,3
24588,38,11,4,1,2,1,0,34.36724645,11,4
24589,38,11,4,2,1,2,0,34.36724645,11,4
24590,21,4,2,1,3,2,0,29.76898566,4,2
24591,93,41,3,2,3,1,0,44.75355287,41,3
24592,38,11,4,3,3,1,1,34.36724645,11,4
24593,38,11,4,2,2,1,0,34.36724645,11,4
24594,55,21,3,2,1,1,0,38.37644494,21,3
24595,82,38,3,4,3,1,1,83.31504554,38,3
24596,33,6,2,1,2,2,0,24.16290488,6,2
24597,53.2,20,3,4,3,1,1,16.72147546,20,3
24598,81,37,1,1,1,1,0,41.63658283,37,1
24599,52.1,20,1,2,1,2,0,37.15883436,20,1
24600,52.1,20,1,1,2,2,0,37.15883436,20,1
24601,62.2,26,4,2,1,2,0,40.292277,26,4
24602,44,16,3,2,1,2,0,36.22521005,16,3
24603,33,6,2,3,2,2,1,24.16290488,6,2
24604,77,35,4,3,3,1,0,38.01839415,35,4
24605,35,8,3,2,3,1,0,33.68115209,8,3
24606,41,12,2,4,2,1,1,85.36579094,12,2
24607,61,24,3,2,3,1,0,46.18484884,24,3
24608,71.2,30,3,1,1,1,0,39.66397038,30,3
24609,82,38,3,2,3,1,0,36.54970193,38,3
24610,22,5,2,3,3,2,1,37.35369136,5,2
24611,44,16,3,1,1,2,0,36.22521005,16,3
24612,72,31,3,4,2,1,1,140.3208948,31,3
24613,95,43,1,4,1,1,1,56.80514,43,1
24614,41,12,2,1,1,2,0,37.44934896,12,2
24615,37,10,4,3,2,2,0,47.84701718,10,4
24616,35,8,3,1,2,1,0,33.68115209,8,3
24617,83,39,3,2,2,2,0,37.06229615,39,3
24618,43,15,3,4,2,2,1,16.7448121,15,3
24619,71.2,30,3,2,3,1,0,39.66397038,30,3
