MAZ,HHS,hh_size_1,hh_size_2,hh_size_3,hh_size_4,hh_wrks_0,hh_wrks_1,hh_wrks_2,hh_wrks_3m,hh_inc_0_30,hh_inc_30_60,hh_inc_60_100,hh_inc_100_150,hh_inc_150_plus,hh_kid,hh_no_kid,hh_unit_single,hh_unit_multi,hh_unit_mobile,pop,age_0_5,age_6_15,age_16_17,age_18_64,age_65p,MGRA,Dwelling Unit,Share Affordable
14425,99,14.60655737704918,41.65573770491803,14.336065573770492,28.401639344262293,24.885245901639344,35.97540983606557,25.426229508196723,12.713114754098362,20.557377049180328,27.049180327868854,25.69672131147541,12.98360655737705,12.713114754098362,31.10655737704918,67.89344262295081,0.0,99.0,0.0,280.6717637838716,17.558868764149814,28.634462907690462,6.213138178083779,170.18595879099047,58.07933514295706,14425.0,107.0,0.0
14426,63,9.242053789731052,26.339853300733495,9.242053789731052,18.1760391198044,15.403422982885084,22.334963325183377,16.17359413202934,9.0880195599022,12.47677261613692,17.097799511002442,16.32762836185819,8.471882640586797,8.625916870415647,19.100244498777506,43.899755501222494,0.0,63.0,0.0,179.08009386230785,11.51887396198378,17.35510343605556,3.9932096401543773,109.35251014576602,36.8603966783481,14426.0,68.0,0.0
14429,17,3.0106038670149706,6.994111876960522,2.5786962725164972,4.41658798350801,4.236812702609134,6.353691289249783,4.2947130162926594,2.1147829918484247,3.53664536975839,4.686943316652504,4.192445892214564,2.2228752924390727,2.3610901289354693,4.993495525551045,12.006504474448954,1.0,16.0,0.0,46.45869775147526,3.212746702762361,4.576041981896877,1.0127879834968043,27.715384181155915,9.941736902163305,14429.0,17.0,0.0
14430,2,0.4647887323943662,0.7852112676056338,0.27816901408450706,0.47183098591549294,0.47183098591549294,0.778169014084507,0.47183098591549294,0.27816901408450706,0.2323943661971831,0.5422535211267606,0.5316901408450704,0.34507042253521125,0.3485915492957746,0.5422535211267606,1.4577464788732395,2.0,0.0,0.0,5.176325869080804,0.2656318474342614,0.5906813449525024,0.11883530016795904,2.9359309453260467,1.2652464312000344,0.0,0.0,0.0
14432,4,0.7181064489589266,1.7114359850642364,0.5205493323207392,1.0499082336560979,0.9333966204670591,1.3680399974685147,1.0296183785836341,0.6689450034807923,0.5598506423644073,0.9711916967280552,1.1312954876273653,0.6498196316688817,0.6878425416112904,1.0570976520473387,2.9429023479526615,1.0,3.0,0.0,10.86098987754477,0.605053081484729,0.9974334064182445,0.28059500262061043,6.571585947969115,2.40632243905207,14432.0,3.0,0.0
14433,1,0.2314410480349345,0.4017467248908297,0.13100436681222707,0.23580786026200873,0.23580786026200873,0.4017467248908297,0.2096069868995633,0.15283842794759825,0.10480349344978165,0.2838427947598253,0.2838427947598253,0.18777292576419213,0.13973799126637554,0.25327510917030566,0.7467248908296943,1.0,0.0,0.0,2.5807252013368704,0.0960676047874977,0.30130294228806104,0.04803380239374885,1.4191805252698524,0.7161403265977102,0.0,0.0,0.0
14434,16,2.853544317839654,6.613952235305304,2.277285621464002,4.25521782539104,4.006640148333624,5.958130615996577,3.9939462132137367,2.0412830224560623,2.8937338552479357,4.437980380659577,4.197746469945008,2.159403179030443,2.3111361151170344,4.687968494952536,11.312031505047463,1.0,15.0,0.0,43.842839265909724,2.9551142543868383,4.512122101986329,0.8467789385833372,25.99340107087574,9.53542290007748,14434.0,16.0,0.0
14435,2,0.4565916398713826,0.7684887459807074,0.2958199356913183,0.4790996784565916,0.48231511254019294,0.7942122186495176,0.4565916398713826,0.26688102893890675,0.22508038585209003,0.5530546623794212,0.5273311897106109,0.33762057877813506,0.35691318327974275,0.5659163987138264,1.4340836012861737,2.0,0.0,0.0,5.223170453424756,0.2878660996988537,0.6013202971487166,0.12474197653616992,2.920241655833927,1.2890004242070894,0.0,0.0,0.0
14436,1,0.21345707656612528,0.4037122969837587,0.14617169373549885,0.23665893271461716,0.2482598607888631,0.39443155452436196,0.22041763341067286,0.1368909512761021,0.11136890951276102,0.27842227378190254,0.26450116009280744,0.18329466357308585,0.16241299303944315,0.2853828306264501,0.7146171693735499,1.0,0.0,0.0,2.616334933953193,0.1194463709969851,0.3330716114339008,0.05972318549849255,1.4333564519638213,0.6707373140599933,0.0,0.0,0.0
14437,1,0.22611464968152867,0.410828025477707,0.1305732484076433,0.23248407643312102,0.2484076433121019,0.3853503184713376,0.2229299363057325,0.14331210191082802,0.08917197452229299,0.29936305732484075,0.2898089171974522,0.18789808917197454,0.1337579617834395,0.27388535031847133,0.7261146496815286,1.0,0.0,0.0,2.57601929645839,0.11076250046197009,0.31646428703420026,0.053798928795814036,1.424089291653901,0.6709042885125045,0.0,0.0,0.0
14438,2,0.42545771578029645,0.8334786399302528,0.2632955536181343,0.4777680906713165,0.5353095030514385,0.7236268526591108,0.4882301656495205,0.2528334786399303,0.2702702702702703,0.5108979947689625,0.5196163905841326,0.31386224934612034,0.3853530950305144,0.5318221447253705,1.4681778552746294,2.0,0.0,0.0,5.217933529758251,0.2947985045061159,0.5150303284606849,0.1144511841023744,3.0641703380135694,1.2294831746755068,0.0,0.0,0.0
14439,3,0.6475155279503105,1.2135093167701863,0.42158385093167705,0.7173913043478262,0.798913043478261,1.1180124223602483,0.7267080745341615,0.3563664596273292,0.4122670807453416,0.7593167701863355,0.78027950310559,0.46816770186335405,0.5799689440993788,0.8105590062111802,2.18944099378882,3.0,0.0,0.0,7.846347045405976,0.46943956681916094,0.8116910736626871,0.15725069233351205,4.557957567490473,1.8500081451001416,0.0,0.0,0.0
14440,6,1.310144927536232,2.4869565217391303,0.7652173913043478,1.4376811594202898,1.5420289855072464,2.208695652173913,1.501449275362319,0.7478260869565218,0.7826086956521738,1.501449275362319,1.6985507246376814,0.9275362318840579,1.0898550724637681,1.553623188405797,4.446376811594203,6.0,0.0,0.0,15.608002751940262,0.8629562892705637,1.5648274045439556,0.3739477253505776,9.124324498554094,3.681946834221072,0.0,0.0,0.0
14441,2,0.4374468085106383,0.8034042553191489,0.28425531914893615,0.4748936170212766,0.5174468085106383,0.7608510638297873,0.4765957446808511,0.2451063829787234,0.25872340425531914,0.5089361702127659,0.5378723404255319,0.30127659574468085,0.3931914893617021,0.5463829787234042,1.4536170212765958,2.0,0.0,0.0,5.218600909018566,0.3122384114386917,0.5535902646048155,0.12151981418154488,3.0042398505993035,1.22701256819421,0.0,0.0,0.0
