MAZ,TAZ,PUMA,REGION,STATE
1,3331,607316,4,6
2,3331,607316,4,6
3,3358,607316,4,6
4,3358,607316,4,6
5,3358,607316,4,6
6,3358,607316,4,6
7,3407,607316,4,6
8,3407,607316,4,6
9,3407,607316,4,6
10,3407,607316,4,6
11,3407,607316,4,6
12,3407,607316,4,6
13,3407,607316,4,6
14,3407,607316,4,6
15,3407,607316,4,6
16,3458,607316,4,6
17,3458,607316,4,6
18,3385,607316,4,6
19,3385,607316,4,6
20,3385,607316,4,6
21,3331,607316,4,6
22,3331,607316,4,6
23,3331,607316,4,6
24,3331,607316,4,6
25,3331,607316,4,6
26,3331,607316,4,6
27,3379,607316,4,6
28,3331,607316,4,6
29,3331,607316,4,6
30,3379,607316,4,6
31,3379,607316,4,6
32,3379,607316,4,6
33,3379,607316,4,6
34,3379,607316,4,6
35,3379,607316,4,6
36,3379,607316,4,6
37,3379,607316,4,6
38,3379,607316,4,6
39,3379,607316,4,6
40,3379,607316,4,6
41,3379,607316,4,6
42,3379,607316,4,6
43,3457,607316,4,6
44,3457,607316,4,6
45,3458,607316,4,6
46,3457,607316,4,6
47,3458,607316,4,6
48,3458,607316,4,6
49,3458,607316,4,6
50,3457,607316,4,6
51,3458,607316,4,6
52,3458,607316,4,6
53,3458,607316,4,6
54,3458,607316,4,6
55,3458,607316,4,6
56,3458,607316,4,6
57,3458,607316,4,6
58,3457,607316,4,6
59,3457,607316,4,6
60,3457,607316,4,6
61,3458,607316,4,6
62,3458,607316,4,6
63,3458,607316,4,6
64,3349,607316,4,6
65,3349,607316,4,6
66,3349,607316,4,6
67,3371,607316,4,6
68,3349,607316,4,6
69,3349,607316,4,6
70,3349,607316,4,6
71,3430,607316,4,6
72,3430,607316,4,6
73,3430,607316,4,6
74,3431,607316,4,6
75,3448,607316,4,6
76,3448,607316,4,6
77,3448,607316,4,6
78,3430,607316,4,6
79,3430,607316,4,6
80,3430,607316,4,6
81,3431,607316,4,6
82,3431,607316,4,6
83,3448,607316,4,6
84,3430,607316,4,6
85,3448,607316,4,6
86,3431,607316,4,6
87,3430,607316,4,6
88,3448,607316,4,6
89,3430,607316,4,6
90,3430,607316,4,6
91,3431,607316,4,6
92,3448,607316,4,6
93,3448,607316,4,6
94,3448,607316,4,6
95,3371,607316,4,6
96,3371,607316,4,6
97,3504,607316,4,6
98,3504,607316,4,6
99,3549,607316,4,6
100,3549,607316,4,6
101,3549,607316,4,6
102,3537,607316,4,6
103,3593,607316,4,6
104,3537,607316,4,6
105,3593,607316,4,6
106,3593,607316,4,6
107,3537,607316,4,6
108,3593,607316,4,6
109,3593,607316,4,6
110,3537,607316,4,6
111,3470,607316,4,6
112,3470,607316,4,6
113,3470,607316,4,6
114,3470,607316,4,6
115,3527,607316,4,6
116,3527,607316,4,6
117,3527,607316,4,6
118,3527,607316,4,6
119,3527,607316,4,6
120,3482,607316,4,6
121,3482,607316,4,6
122,3482,607316,4,6
123,3482,607316,4,6
124,3482,607316,4,6
125,3482,607316,4,6
126,3482,607316,4,6
127,3482,607316,4,6
128,3537,607316,4,6
129,3538,607316,4,6
130,3537,607316,4,6
131,3538,607316,4,6
132,3537,607316,4,6
133,3565,607316,4,6
134,3537,607316,4,6
135,3565,607316,4,6
136,3565,607316,4,6
137,3565,607316,4,6
138,3606,607316,4,6
139,3565,607316,4,6
140,3537,607316,4,6
141,3565,607316,4,6
142,3606,607316,4,6
143,3606,607316,4,6
144,3482,607316,4,6
145,3537,607316,4,6
146,3503,607316,4,6
147,3503,607316,4,6
148,3503,607316,4,6
149,3510,607316,4,6
150,3510,607316,4,6
151,3503,607316,4,6
152,3503,607316,4,6
153,3503,607316,4,6
154,3516,607316,4,6
155,3516,607316,4,6
156,3522,607316,4,6
157,3522,607316,4,6
158,3547,607316,4,6
159,3551,607316,4,6
160,3551,607316,4,6
161,3547,607316,4,6
162,3547,607316,4,6
163,3515,607316,4,6
164,3515,607316,4,6
165,3515,607316,4,6
166,3515,607316,4,6
167,3515,607316,4,6
168,3515,607316,4,6
169,3573,607316,4,6
170,3573,607316,4,6
171,3573,607316,4,6
172,3608,607316,4,6
173,3608,607316,4,6
174,3608,607316,4,6
175,3608,607316,4,6
176,3608,607316,4,6
177,3515,607316,4,6
178,3571,607316,4,6
179,3571,607316,4,6
180,3609,607316,4,6
181,3609,607316,4,6
182,3609,607316,4,6
183,3609,607316,4,6
184,3550,607316,4,6
185,3550,607316,4,6
186,3550,607316,4,6
187,3550,607316,4,6
188,3550,607316,4,6
189,3605,607316,4,6
190,3605,607316,4,6
191,3605,607316,4,6
192,3605,607316,4,6
193,3325,607316,4,6
194,3362,607316,4,6
195,3420,607316,4,6
196,3420,607316,4,6
197,3425,607316,4,6
198,3420,607316,4,6
199,3420,607316,4,6
200,3450,607316,4,6
201,3450,607316,4,6
202,3325,607316,4,6
203,3425,607316,4,6
204,3425,607316,4,6
205,3427,607316,4,6
206,3472,607316,4,6
207,3472,607316,4,6
208,3472,607316,4,6
209,3472,607316,4,6
210,3472,607316,4,6
211,3483,607316,4,6
212,3484,607316,4,6
213,3484,607316,4,6
214,3485,607316,4,6
215,3485,607316,4,6
216,3472,607316,4,6
217,3484,607316,4,6
218,3325,607316,4,6
219,3325,607316,4,6
220,3373,607316,4,6
221,3325,607316,4,6
222,3419,607316,4,6
223,3419,607316,4,6
224,3373,607316,4,6
225,3419,607316,4,6
226,3419,607316,4,6
227,3449,607316,4,6
228,3449,607316,4,6
229,3451,607316,4,6
230,3451,607316,4,6
231,3449,607316,4,6
232,3250,607316,4,6
233,3250,607316,4,6
234,3280,607316,4,6
235,3297,607316,4,6
236,3297,607316,4,6
237,3280,607316,4,6
238,3280,607316,4,6
239,3280,607316,4,6
240,3297,607316,4,6
241,3280,607316,4,6
242,3280,607316,4,6
243,3297,607316,4,6
244,3327,607316,4,6
245,3327,607316,4,6
246,3327,607316,4,6
247,3327,607316,4,6
248,3327,607316,4,6
249,3327,607316,4,6
250,3297,607316,4,6
251,3297,607316,4,6
252,3366,607316,4,6
253,3366,607316,4,6
254,3366,607316,4,6
255,3366,607316,4,6
256,3366,607316,4,6
257,3366,607316,4,6
258,3366,607316,4,6
