STATE,COUNTY,TRACT,TOTHH,MOETOT,HHWORK0,MOEW0,HHWORK1,MOEW1,HHWORK2,MOEW2,HHWORK3,MOEW3,HHSIZE1,MOESIZE1,HHS1W0,MOES1W0,HHS1W1,MOES1W1,HHSIZE2,MOESIZE2,HHS2W0,MOES2W0,HHS2W1,MOES2W1,HHS2W2,MOES2W2,HHSIZE3,MOESIZE3,HHS3W0,MOES3W0,HHS3W1,MOES3W1,HHS3W2,MOES3W2,HHS3W3,MOES3W3,HHSIZE4,MOESIZE4,HHS4W0,MOES4W0,HHS4W1,MOES4W1,HHS4W2,MOES4W2,HHS4W3,MOES4W3,TOTHH2,MOETOT2,OOHU,MOEOOHU,OOHUDETACHED,OOHUMOEDETACHED,OOHUATTACHED,OOHUMOEATTACHED,OOHUUB2,OOHUMOEUB2,OOHUUB3TO4,OOHUMOEUB3TO4,OOHUUB5TO9,OOHUMOEUB5TO9,OOHUUB10TO19,OOHUMOEUB10TO19,OOHUUB20TO49,OOHUMOEUB20TO49,OOHUUB50PLUS,OOHUMOEUB50PLUS,OOHUUBMH,OOHUMOEUBMH,OOHUUBBOATRV,OOHUMOEUBBOATRV,ROHU,MOEROHU,ROHUDETACHED,ROHUMOEDETACHED,ROHUATTACHED,ROHUMOEATTACHED,ROHUUB2,ROHUMOEUB2,ROHUUB3TO4,ROHUMOEUB3TO4,ROHUUB5TO9,ROHUMOEUB5TO9,ROHUUB10TO19,ROHUMOEUB10TO19,ROHUUB20TO49,ROHUMOEUB20TO49,ROHUUB50PLUS,ROHUMOEUB50PLUS,ROHUUBMH,ROHUMOEUBMH,ROHUUBBOATRV,ROHUMOEUBBOATRV
41,3,100,2921,155.6313882,553,130.2221819,1359,222.3305545,805,155.6313882,204,105.8716926,724,157.748822,243,89.99093875,481,149.2790866,1056,164.1011236,143,65.64044944,418,132.3396158,494,104.8129757,557,154.5726713,85,67.75788329,233,106.9304096,164,85.75607104,75,64.58173251,584,154.5726713,82,63.52301559,228,111.1652773,146,73.05146792,129,88.93222182,2921,155.6313882,1342,147.1616528,1032,131.2808989,23,29.64407394,26,31.76150779,37,59.28814788,0,130.2221819,0,130.2221819,0,130.2221819,16,25.40920623,208,79.40376948,0,130.2221819,1579,157.748822,559,142.9267851,113,70.93403407,115,70.93403407,355,142.9267851,175,87.87350489,151,88.93222182,23,25.40920623,44,37.05509242,44,60.34686481,0,130.2221819
41,3,202,2302,151.2618508,859,137.8172263,787,172.8606069,604,121.3147723,52,47.09895397,700,151.7549372,403,119.3569234,296,126.8899048,1122,181.9674867,408,123.5619326,316,141.7520926,397,109.1785752,244,87.12950083,32,36.9491178,70,51.15229977,92,49.56881715,50,46.23617307,236,56.67040813,15,25.76099714,104,46.25510092,115,55.80762724,2,125.6289174,2302,151.2618508,1364,114.6777557,1325,117.3752342,34,25.69462938,0,124.5670332,0,128.2836278,0,128.2836278,0,128.2836278,0,128.2836278,0,128.2836278,4,126.4916983,0,128.2836278,938,161.9711411,267,126.9705286,52,44.48209923,23,26.93668898,102,70.55600732,117,106.4621688,156,123.7752919,1,125.6289174,220,74.76568832,1,125.0316075,0,128.2836278
41,3,400,3298,167.7192335,872,151.9871126,1146,181.3241886,1083,171.9046158,197,124.6927746,651,141.5271746,304,109.0253817,347,119.4965768,1461,224.2690339,484,120.5228707,404,124.7279529,572,159.3062549,456,120.5636775,37,34.73730778,137,59.78909517,209,78.61979784,73,58.68681615,730,138.3385365,47,50.30620157,258,93.27637522,302,110.0460472,124,106.8771089,3298,167.7192335,2203,163.5282227,1979,149.9077892,224,78.72814689,0,128.8514215,0,129.0033916,0,129.0033916,0,129.0033916,0,129.0033916,0,129.0033916,0,128.8668999,0,128.8528286,1095,191.8193048,395,145.6759715,83,56.73272734,55,71.39634037,145,109.1027739,256,112.2449767,99,71.39634037,16,24.26329847,46,34.60222325,0,128.9456992,0,129.0033916
41,3,500,1294,95.55692308,424,80.62615385,416,87.59384615,414,92.57076923,40,36.82923077,264,90.58,161,67.68615385,102,65.69538462,662,88.58923077,248,50.76461538,169,61.71384615,245,71.66769231,162,79.63076923,0,122.4323077,61,61.71384615,87,45.78769231,14,22.89384615,206,57.73230769,15,21.89846154,84,40.81076923,82,48.77384615,26,29.86153846,1294,95.55692308,1024,94.56153846,982,91.57538462,0,122.4323077,10,14.93076923,0,122.4323077,0,122.4323077,0,122.4323077,0,122.4323077,0,122.4323077,22,25.88,10,15.92615385,270,102.5246154,103,61.71384615,0,122.4323077,0,122.4323077,0,122.4323077,0,122.4323077,0,122.4323077,0,122.4323077,55,26.87538462,112,81.62153846,0,122.4323077
41,3,600,2090,125.0677887,631,139.7241702,925,172.9453015,495,134.8387097,39,40.06077606,719,156.3347359,364,134.8387097,355,117.2510519,695,168.059841,220,89.89247312,261,114.3197756,214,99.66339411,320,123.1136045,22,34.19822347,145,82.07573633,140,91.84665732,14,21.49602618,356,110.4114072,24,26.38148668,165,86.96119682,141,56.67134175,25,39.08368396,2090,125.0677887,1095,156.3347359,631,123.1136045,45,50.80878915,0,120.1823282,16,24.42730248,0,120.1823282,0,120.1823282,0,120.1823282,0,120.1823282,404,129.9532492,0,120.1823282,995,151.4492754,289,131.9074334,38,46.90042076,75,52.76297335,106,50.80878915,153,122.1365124,96,69.37353904,26,30.28985507,132,73.28190743,79,83.05282842,0,120.1823282
41,3,900,2387,109.1430991,622,110.1536833,837,156.6405588,838,147.5453006,90,74.78323455,637,166.7464014,249,111.1642676,388,125.3124471,1023,182.9157494,359,71.7514818,204,88.93141406,460,145.5241321,319,110.1536833,15,25.26460627,133,81.8573243,155,70.74089754,16,25.26460627,408,103.0795936,0,124.3018628,111,65.68797629,223,81.8573243,74,71.7514818,2387,109.1430991,1403,110.1536833,1387,114.1960203,0,124.3018628,0,124.3018628,0,124.3018628,0,124.3018628,0,124.3018628,0,124.3018628,0,124.3018628,16,24.25402202,0,124.3018628,984,150.5770533,180,100.0478408,13,22.23285351,129,63.66680779,128,72.76206605,255,126.3230313,67,55.58213378,116,82.86790855,96,59.62447079,0,124.3018628,0,124.3018628
41,3,1001,1740,122.231405,506,92.44391972,727,157.1546635,438,98.6068477,69,40.05903188,592,145.8559622,326,100.661157,266,101.6883117,635,149.9645809,137,57.52066116,265,128.3943329,234,84.22668241,258,106.824085,13,20.54309327,75,53.4120425,147,73.95513577,23,25.67886659,255,60.60212515,31,34.92325856,121,54.43919717,56,42.1133412,46,33.8961039,1740,122.231405,616,91.41676505,419,89.36245573,59,43.14049587,3,10.27154664,12,19.51593861,0,126.3400236,0,126.3400236,0,126.3400236,0,126.3400236,113,42.1133412,11,17.46162928,1124,136.6115702,121,67.79220779,164,71.90082645,154,69.84651712,154,104.7697757,195,77.03659976,178,101.6883117,88,59.57497048,69,61.62927981,0,126.3400236,0,126.3400236
41,3,1002,1329,100.792025,265,109.1047694,599,118.4566067,400,100.792025,65,51.95465207,374,97.6747459,164,81.04925723,210,75.85379203,601,105.9874902,50,40.52462862,254,86.24472244,297,94.55746677,206,87.28381548,51,59.22830336,47,35.32916341,71,43.64190774,37,45.72009382,148,45.72009382,0,127.8084441,88,36.36825645,32,29.09460516,28,25.97732604,1329,100.792025,756,83.12744332,756,83.12744332,0,127.8084441,0,127.8084441,0,127.8084441,0,127.8084441,0,127.8084441,0,127.8084441,0,127.8084441,0,127.8084441,0,127.8084441,573,103.9093041,165,81.04925723,75,47.79827991,58,45.72009382,13,15.58639562,64,51.95465207,99,78.97107115,67,58.18921032,32,24.93823299,0,127.8084441,0,127.8084441
41,3,1101,1340,130.5580159,433,106.8201949,707,134.1186891,156,71.21346324,44,34.41984057,766,131.744907,211,79.52170062,554,124.6235607,402,113.9415412,203,85.45615589,70,52.22320638,129,66.46589903,36,27.29849424,0,145.9875996,30,24.92471213,6,14.24269265,0,145.9875996,136,75.96102746,19,30.8591674,54,49.84942427,20,26.11160319,44,34.41984057,1340,130.5580159,122,52.22320638,91,45.10186005,0,145.9875996,10,15.4295837,0,145.9875996,0,145.9875996,0,145.9875996,0,145.9875996,0,145.9875996,21,28.4853853,0,145.9875996,1218,126.9973428,150,73.58724535,40,27.29849424,148,89.01682905,154,71.21346324,138,74.7741364,182,109.193977,313,99.69884854,80,62.90522586,0,145.9875996,13,22.55093003
41,3,1102,2083,183.3292868,645,130.6484573,1026,203.348002,261,110.629742,151,103.2544259,973,171.7395043,407,122.2195245,566,149.6135559,656,149.6135559,159,75.86039454,318,121.1659079,179,93.77187658,238,105.3616591,79,61.10976227,43,43.19828022,31,27.39403136,85,74.80677795,216,96.93272635,0,129.5948407,99,77.96762772,52,51.62721295,65,67.43146181,2083,183.3292868,563,123.2731411,549,120.1122914,0,129.5948407,14,22.12594841,0,129.5948407,0,129.5948407,0,129.5948407,0,129.5948407,0,129.5948407,0,129.5948407,0,129.5948407,1520,222.3131007,371,130.6484573,52,43.19828022,83,69.53869499,174,91.6646434,168,104.3080425,154,108.5225089,199,91.6646434,319,122.2195245,0,129.5948407,0,129.5948407
