"TAZ","POPBASE","HHBASE","HHS1BASE","HHS2BASE","HHS3BASE","HHS4BASE","AGE1BASE","AGE2BASE","AGE3BASE","AGE4BASE","HHI1BASE","HHI2BASE","HHI3BASE","HHI4BASE","PSFD","GQPOPBASE"
192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,7,7,7,0,0,0,3,4,0,0,4,2,0,1,1,0
195,8,5,2,3,0,0,5,0,0,0,3,1,0,1,0.1429,0
196,301,164,104,44,8,8,66,56,7,35,85,32,27,20,0.2812,48
197,129,48,18,12,7,11,18,28,1,1,25,9,8,6,0.2769,8
198,280,104,47,29,10,18,48,45,7,4,55,20,17,12,0.2742,60
199,217,55,24,14,7,10,45,10,0,0,39,11,4,1,0.1091,100
200,124,32,16,7,5,4,15,9,4,4,23,6,2,1,0.1071,59
201,261,114,52,25,11,26,80,30,4,0,81,23,8,2,0.113,0
202,1061,282,65,118,27,72,221,47,10,4,195,47,40,0,0.1677,317
203,554,45,19,5,9,12,31,10,3,1,27,1,13,4,0.3279,436
204,286,103,30,35,15,23,26,34,15,28,34,18,35,16,0.4414,19
205,505,233,103,59,30,41,51,56,27,99,76,41,80,36,0.4327,0
206,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0
207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,7,6,5,1,0,0,1,3,2,0,2,3,1,0,1,0
212,368,128,32,34,18,44,91,33,1,3,46,58,13,11,0.2437,0
213,211,132,72,49,4,7,102,28,1,1,47,60,14,11,0.2523,0
214,295,133,52,52,13,16,79,38,9,7,47,60,14,12,0.2381,18
215,142,35,18,8,5,4,17,12,5,1,12,16,4,3,0.25,74
216,11,4,0,3,0,1,0,2,2,0,2,1,0,1,0.1667,0
217,56,53,50,3,0,0,0,25,16,12,28,15,3,7,0.25,0
218,11,9,7,2,0,0,2,6,1,0,5,3,0,1,1,0
219,10,5,1,3,1,0,0,3,2,0,3,1,0,1,1,0
220,13,10,7,3,0,0,3,6,1,0,5,3,1,1,1,0
221,24,16,9,6,1,0,7,8,1,0,8,5,1,2,0.1667,0
222,42,26,17,6,2,1,7,16,1,2,14,8,1,3,0.1429,0
223,73,41,23,13,1,4,10,24,6,1,22,12,2,5,0.1562,0
224,26,13,5,6,0,2,4,3,4,2,6,4,1,2,0.2,0
225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,72,46,30,10,4,2,16,21,8,1,24,13,3,6,0.1429,0
228,171,67,21,25,9,12,16,35,13,3,35,19,4,9,0.1429,11
229,7,1,0,0,0,1,0,1,0,0,1,0,0,0,1,3
230,500,250,104,95,21,30,161,66,13,10,154,41,55,0,0.1773,0
231,167,55,5,19,11,20,5,30,15,5,1,9,20,25,0.7385,0
232,275,108,25,39,20,24,3,52,25,28,26,25,28,29,0.5954,0
