"TAZ","POPBASE","HHBASE","HHS1BASE","HHS2BASE","HHS3BASE","HHS4BASE","AGE1BASE","AGE2BASE","AGE3BASE","AGE4BASE","HHI1BASE","HHI2BASE","HHI3BASE","HHI4BASE","PSFD","GQPOPBASE"
517,15,5,1,2,0,2,0,3,1,1,0,1,2,2,0.6667,0
518,128,51,6,26,8,11,0,22,14,15,3,11,16,21,0.8,0
519,81,35,6,18,5,6,0,11,11,13,2,8,11,14,0.7931,0
520,150,57,7,28,8,14,0,23,16,18,3,13,18,23,0.7955,0
521,60,20,2,8,2,8,1,11,4,4,1,5,6,8,0.8,0
522,156,63,15,24,10,14,1,24,18,20,3,14,20,26,0.7843,0
523,72,28,4,13,4,7,0,11,8,9,2,6,9,11,0.8095,0
524,32,9,1,2,3,3,0,6,1,2,1,2,4,2,0.875,0
525,1009,371,48,154,77,92,3,208,81,79,32,74,172,93,0.8141,3
526,17,6,0,4,0,2,0,3,0,3,0,1,3,2,0.8571,0
527,22,8,0,5,1,2,0,6,2,0,1,1,4,2,0.875,0
528,26,11,3,5,1,2,0,4,3,4,0,1,5,5,0.9091,0
529,177,65,8,28,10,19,0,29,18,18,1,11,25,28,0.9516,0
530,10,4,1,2,0,1,0,2,1,1,0,0,2,2,1,0
531,18,6,1,2,1,2,0,2,2,2,0,1,2,3,1,0
532,360,130,19,51,22,38,0,70,36,24,6,8,56,60,0.952,0
533,7,3,0,1,1,1,0,1,1,1,0,0,1,2,1,0
534,12,4,1,1,1,1,0,2,1,1,0,0,2,2,1,0
535,50,20,3,11,2,4,1,7,7,5,1,1,9,9,0.9474,0
536,26,11,2,6,1,2,0,5,4,2,0,1,5,5,0.9091,0
537,158,54,4,26,5,19,0,21,14,19,3,3,23,25,0.9474,0
538,184,63,4,32,8,19,0,29,16,18,3,4,27,29,0.9508,0
539,98,32,2,16,3,11,0,15,9,8,1,2,14,15,0.9333,0
540,55,22,4,8,5,5,0,7,5,10,0,4,8,10,0.9474,0
541,139,52,8,21,8,15,0,17,18,17,1,9,20,22,0.9583,0
542,80,32,3,18,4,7,1,10,10,11,0,6,12,14,0.9333,0
543,23,8,1,4,1,2,0,4,2,2,0,1,3,4,1,0
544,240,82,6,35,14,27,2,40,20,20,1,14,31,36,0.9452,0
545,7,2,0,1,0,1,0,1,0,1,0,0,1,1,1,0
546,13,4,0,2,1,1,0,2,0,2,0,1,1,2,1,0
547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
548,2,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0
549,2,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0
550,36,13,1,6,2,4,0,7,4,2,1,3,4,5,0.8,0
551,17,6,1,2,1,2,0,2,2,2,0,1,2,3,0.8,0
552,78,30,4,15,4,7,0,12,8,10,2,7,9,12,0.7826,0
553,8,3,0,2,0,1,0,1,1,1,0,1,1,1,0.5,0
554,38,17,3,10,2,2,0,6,5,6,1,4,5,7,0.8,0
555,29,9,2,2,2,3,0,5,2,2,1,2,3,3,0.8182,0
556,23,8,2,2,2,2,0,3,2,3,1,2,2,3,0.8889,0
557,104,42,7,20,6,9,1,16,13,12,3,10,13,16,0.8545,0
558,352,122,16,43,26,37,7,78,20,17,10,28,38,46,0.8434,0
559,154,61,12,26,10,13,0,30,16,15,5,14,19,23,0.8358,3
560,68,26,5,12,4,5,0,12,7,7,2,6,8,10,0.8276,3
561,45,18,5,6,4,3,1,9,2,6,1,4,6,7,0.84,0
562,68,30,10,10,5,5,2,15,6,7,2,7,10,11,0.8378,0
563,1046,429,108,150,92,79,14,282,75,58,64,81,190,94,0.7374,0
564,925,346,60,126,67,93,21,246,46,33,53,64,156,73,0.7282,0
565,455,205,76,66,26,37,31,116,26,32,32,38,92,43,0.7348,0
566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
570,2,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0
571,54,18,4,3,7,4,0,10,6,2,0,3,5,10,0.9,0
572,92,34,7,11,8,8,0,8,11,15,0,5,9,20,0.875,0
573,349,150,41,57,24,28,1,60,38,51,0,22,39,89,0.877,0
574,357,133,18,57,24,34,1,62,28,42,0,19,35,79,0.8741,0
575,136,53,10,21,10,12,1,25,13,14,5,8,19,21,0.9216,0
576,287,120,29,50,14,27,1,50,21,48,9,18,44,49,0.945,0
577,17,8,2,4,0,2,0,2,1,5,1,1,3,3,1,0
578,12,4,0,2,1,1,1,1,1,1,0,0,2,2,1,0
579,425,161,24,76,19,42,1,67,38,55,11,21,61,68,0.9811,0
580,52,19,3,7,3,6,0,11,4,4,2,3,7,7,0.9444,0
581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
582,95,39,6,20,7,6,0,12,12,15,3,6,14,16,0.9189,0
583,48,21,4,12,3,2,0,7,4,10,2,3,8,8,0.9,0
584,90,31,4,13,3,11,0,15,8,8,3,5,11,12,0.9286,0
585,397,137,14,59,17,47,1,74,34,28,12,21,49,55,0.916,0
586,712,261,27,122,54,58,3,120,68,70,18,34,98,111,0.9802,0
587,416,152,23,60,30,39,1,82,38,31,10,20,57,65,0.9854,0
588,44,18,2,9,3,4,1,10,3,4,0,3,7,8,0.9444,0
589,181,71,10,37,12,12,3,31,18,19,1,12,27,31,0.9437,0
590,282,111,14,59,14,24,2,61,26,22,2,19,42,48,0.9483,0
591,355,119,14,44,25,36,2,67,28,22,10,19,42,48,0.9189,0
592,145,50,5,20,9,16,1,26,11,12,4,8,18,20,0.9149,0
593,112,40,4,18,6,12,1,17,10,12,3,5,15,17,0.925,0
594,218,75,7,29,15,24,1,37,17,20,6,12,27,30,0.92,0
595,346,123,18,45,24,36,2,81,26,14,2,21,47,53,0.9524,0
596,173,67,8,33,11,15,3,36,12,16,1,11,26,29,0.942,0
597,150,58,8,28,9,13,2,31,12,13,1,10,22,25,0.9492,0
598,149,58,6,27,14,11,2,21,15,20,3,4,25,26,0.9444,0
599,117,39,3,17,7,12,0,17,11,11,2,2,17,18,0.9487,0
600,34,14,2,7,2,3,0,6,5,3,1,1,6,6,0.9231,0
601,36,14,2,7,2,3,0,6,5,3,1,1,6,6,0.9286,0
602,14,6,2,2,0,2,0,3,3,0,0,0,3,3,1,0
603,39,16,4,7,1,4,0,7,4,5,1,1,7,7,0.9375,0
604,11,5,1,2,2,0,0,1,2,2,0,0,3,2,1,0
605,197,68,10,29,7,22,0,35,17,16,3,4,30,31,0.9412,0
606,7,3,1,1,0,1,0,1,2,0,0,0,1,2,1,0
607,46,17,5,6,2,4,2,7,6,2,1,3,6,7,0.9231,0
608,127,50,12,18,8,12,0,30,10,10,4,8,18,20,0.9149,0
609,248,102,30,36,11,25,6,52,26,18,9,16,36,41,0.9149,0
610,98,48,12,29,4,3,0,15,5,28,4,8,17,19,0.9167,0
611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
614,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
615,4,2,0,2,0,0,0,0,0,2,0,0,1,1,1,0
616,8,3,0,1,2,0,0,1,0,2,0,1,1,1,1,0
617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
618,7,3,1,1,0,1,0,1,1,1,0,1,1,1,1,0
619,34,11,0,7,3,1,1,4,5,1,1,3,3,4,0.9091,0
620,23,7,0,4,0,3,0,5,1,1,1,2,2,2,1,0
621,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0
622,16,7,1,4,1,1,1,5,1,0,2,1,3,1,0.7692,0
623,91,45,18,18,3,6,2,25,10,8,4,11,16,14,0.7391,0
624,54,43,35,6,1,1,2,4,8,29,21,11,9,2,0.2,0
625,3,2,1,1,0,0,1,1,0,0,1,1,0,0,1,0
626,25,11,3,4,2,2,5,5,0,1,5,3,2,1,0.3333,0
627,11,8,5,3,0,0,1,4,2,1,4,2,2,0,0.3333,0
628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630,20,11,4,5,2,0,4,7,0,0,5,3,2,1,1,0
631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
632,138,54,16,21,7,10,8,31,9,6,26,14,11,3,0.2826,0
633,25,18,12,5,1,0,4,13,0,1,9,5,3,1,0.28,0
634,71,39,18,16,1,4,9,23,6,1,19,10,8,2,0.2703,0
635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
637,45,18,4,7,4,3,0,13,4,1,6,7,4,1,0.2857,0
638,70,29,8,12,3,6,1,19,3,6,7,11,9,2,0.8929,0
639,209,83,22,29,16,16,1,48,17,17,19,31,27,6,0.875,0
640,97,40,13,12,7,8,4,17,13,6,9,15,13,3,0.8837,0
641,164,62,17,16,12,17,4,36,5,17,14,23,20,5,0.8772,0
643,15,6,2,1,1,2,0,5,1,0,1,2,2,1,0.8333,0
644,133,53,13,18,7,15,5,21,11,16,12,20,17,4,0.875,0
645,43,18,3,9,4,2,3,10,2,3,4,7,6,1,0.8824,0
646,103,40,7,14,10,9,2,22,11,5,14,15,8,3,0.3061,0
647,265,110,36,36,23,15,12,61,21,16,39,42,22,7,0.2945,0
648,98,46,19,12,8,7,7,20,10,9,16,18,9,3,0.3051,0
649,104,49,24,11,6,8,9,23,8,9,17,19,10,3,0.2985,0
650,197,81,20,34,14,13,7,53,15,6,28,31,17,5,0.297,0
651,76,21,3,6,2,10,2,11,5,3,7,9,4,1,0.2963,0
652,36,15,4,7,1,3,0,8,6,1,5,6,3,1,0.2857,0
653,57,27,12,6,3,6,2,20,4,1,13,7,5,2,0.2857,0
654,288,114,37,28,23,26,12,79,15,8,56,29,23,6,0.2792,0
655,210,91,40,18,14,19,3,53,23,12,44,24,18,5,0.2833,0
656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
657,92,22,9,4,2,7,0,14,4,4,11,6,4,1,0.2609,34
658,232,92,29,28,14,21,10,49,21,12,45,24,18,5,0.2743,0
659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660,28,8,6,0,0,2,0,8,0,0,4,2,2,0,0.4286,0
661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
663,30,5,3,0,2,0,0,4,0,1,3,1,1,0,0.2727,21
664,12,4,0,1,2,1,0,1,3,0,2,1,1,0,0.4286,0
665,28,14,7,3,1,3,2,9,2,1,6,4,3,1,0.2857,0
666,87,44,26,10,4,4,4,21,15,4,3,11,16,14,0.7447,8
667,86,39,11,17,6,5,0,12,16,11,3,10,14,12,0.725,0
668,49,26,10,10,5,1,4,11,10,1,5,5,7,9,0.7097,0
669,48,17,1,9,2,5,2,6,4,5,3,3,5,6,0.7222,0
670,35,14,4,3,3,4,0,9,4,1,1,5,6,2,0.8,0
671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
672,44,22,8,7,6,1,1,13,7,1,2,8,9,3,0.7586,0
673,112,46,12,16,9,9,3,29,10,4,4,17,19,6,0.7692,0
674,95,40,12,13,6,9,0,22,8,10,3,15,17,5,0.7826,0
675,158,73,26,28,9,10,1,35,19,18,15,14,20,24,0.7215,0
676,93,36,6,15,6,9,1,14,13,8,3,9,13,11,0.7692,0
677,140,58,19,18,9,12,4,31,16,7,5,14,21,18,0.7586,4
678,121,42,9,13,9,11,9,21,6,6,21,11,8,2,0.2903,0
679,72,30,6,12,6,6,1,14,8,7,2,7,11,10,0.7742,0
680,26,12,1,8,3,0,4,3,3,2,1,3,4,4,0.6923,0
681,25,12,4,4,3,1,1,8,2,1,3,2,3,4,0.8333,0
682,167,80,32,26,8,14,10,48,7,15,16,15,22,27,0.7108,0
683,117,45,9,16,6,14,1,29,7,8,3,17,19,6,0.7755,0
684,102,43,12,16,7,8,0,25,10,8,3,16,18,6,0.7826,0
685,179,86,33,34,6,13,10,50,20,6,7,32,36,11,0.7802,0
686,97,35,9,12,7,7,0,19,11,5,3,13,15,4,0.775,9
687,200,79,23,26,13,17,4,47,15,13,16,15,22,26,0.7215,0
688,92,36,15,9,5,7,2,18,10,6,7,7,10,12,0.6923,5
689,30,11,5,1,1,4,0,8,1,2,1,3,4,3,0.6667,0
690,57,2,1,1,0,0,0,0,1,1,0,0,1,1,1,54
691,51,23,6,9,6,2,1,13,4,5,2,6,8,7,0.7407,0
692,68,29,9,9,4,7,3,11,7,8,6,5,8,10,0.7037,0
693,44,18,2,9,5,2,0,7,6,5,4,3,5,6,0.7,0
694,83,34,11,11,4,8,0,14,9,11,7,6,10,11,0.7059,0
695,100,42,13,15,5,9,3,30,2,7,14,8,14,6,0.7556,0
696,73,29,9,8,6,6,0,18,5,6,2,11,12,4,0.7667,0
697,145,55,16,16,4,19,1,33,13,8,18,10,19,8,0.7458,0
698,121,53,16,19,8,10,0,38,10,5,17,10,18,8,0.7414,0
699,159,70,24,23,13,10,3,38,19,10,23,13,24,10,0.7407,3
700,284,114,33,41,21,19,4,74,23,13,37,22,39,16,0.746,0
701,120,53,21,18,5,9,7,34,6,6,17,10,18,8,0.7407,0
702,344,128,24,51,20,33,0,66,31,31,9,17,44,58,0.8913,0
703,2,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0
704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
705,328,116,28,32,20,36,14,82,12,8,9,42,47,18,0.7793,10
706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
708,603,262,61,121,38,42,2,81,68,111,19,34,90,119,0.8925,0
709,1953,618,66,189,116,247,10,425,93,90,44,81,213,280,0.8951,0
710,75,30,4,14,7,5,0,10,10,10,3,7,9,11,0.8889,0
711,63,25,3,13,3,6,2,12,4,7,3,6,7,9,0.8889,0
712,12,5,1,3,0,1,0,2,2,1,1,1,1,2,1,0
713,20,8,2,4,0,2,0,3,3,2,1,2,2,3,0.8889,0
714,114,47,9,24,3,11,1,20,13,13,5,11,13,18,0.8936,0
715,73,31,8,15,2,6,0,7,12,12,3,7,9,12,0.8788,0
716,14,7,3,3,0,1,0,5,1,1,1,2,2,2,0.8889,0
717,128,47,7,21,5,14,0,24,14,9,5,11,13,18,0.8824,0
718,66,26,5,11,5,5,0,13,6,7,3,6,7,10,0.8929,0
719,96,36,5,14,9,8,1,16,10,9,4,8,10,14,0.8947,0
720,12,5,1,2,1,1,0,1,2,2,1,1,1,2,1,0
721,19,7,1,3,1,2,0,2,2,3,2,2,2,1,0.6667,0
722,1387,618,188,238,95,97,117,289,136,76,162,157,165,134,0.6615,0
723,20,6,0,1,4,1,0,3,0,3,2,1,2,1,0.7143,0
724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,12,6,1,4,1,0,0,0,2,4,2,1,2,1,0.625,0
726,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
727,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
728,85,26,4,8,4,10,1,17,4,4,2,3,9,12,0.8889,0
729,314,150,57,57,15,21,4,61,48,37,11,20,51,68,0.8917,0
730,93,40,11,17,6,6,1,27,6,6,10,17,10,3,0.2143,0
731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
733,7,3,0,2,1,0,0,1,0,2,1,1,1,0,0.25,0
734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
735,51,23,5,12,3,3,1,7,5,10,6,6,6,5,0.68,0
736,29,10,0,6,1,3,1,2,3,4,2,3,2,3,0.5,0
737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740,359,133,26,51,20,36,2,71,31,29,29,40,29,35,0.4534,0
741,175,72,8,42,9,13,0,30,19,23,16,21,16,19,0.4535,0
742,484,275,177,98,0,0,0,0,0,275,61,82,59,73,0.449,111
743,72,27,5,10,6,6,2,13,6,6,6,8,6,7,0.4375,0
744,561,225,46,100,25,54,4,111,50,60,50,67,48,60,0.4505,0
745,799,286,44,103,60,79,13,191,49,33,69,60,90,67,0.6875,5
746,796,355,120,129,48,58,7,134,79,135,85,155,86,29,0.2259,0
747,2,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
748,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
749,14,7,3,2,1,1,0,7,0,0,2,1,2,2,0.625,0
750,730,261,45,94,53,69,19,157,44,41,63,54,82,62,0.6892,15
751,361,187,91,55,18,23,24,86,35,42,45,39,59,44,0.6895,0
752,186,66,8,30,10,18,1,31,14,20,16,14,21,15,0.6885,0
753,99,36,9,14,3,10,0,16,8,12,2,17,13,4,0.7879,0
754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
755,230,85,5,44,18,18,2,37,23,23,5,41,30,9,0.8,0
756,765,332,83,159,33,57,2,107,67,156,29,106,123,74,0.5859,5
757,6,3,1,1,0,1,0,1,1,1,0,1,1,1,0.6667,0
758,207,85,18,37,15,15,1,31,18,35,5,41,30,9,0.8052,5
759,215,91,19,41,17,14,2,51,15,23,6,43,32,10,0.8,0
760,89,30,7,8,4,11,0,17,5,8,7,10,11,2,0.6053,0
761,85,33,8,13,4,8,0,17,7,9,8,11,12,2,0.5897,0
762,273,91,12,30,19,30,3,52,18,18,21,31,32,7,0.5981,0
763,534,222,81,57,32,52,22,145,25,30,50,76,80,16,0.5944,0
764,238,84,23,18,14,29,3,59,11,11,20,18,36,10,0.3939,0
765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0
767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
768,243,100,29,31,17,23,12,58,16,14,24,21,43,12,0.3867,0
769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
770,201,73,16,23,13,21,5,51,8,9,18,15,31,9,0.3889,0
771,490,175,35,52,37,51,12,115,27,21,41,72,42,20,0.5251,0
772,436,180,60,61,31,28,21,99,34,26,41,62,64,13,0.5921,19
773,110,40,7,16,6,11,0,22,11,7,9,14,14,3,0.6042,0
774,158,56,10,23,6,17,1,34,13,8,13,23,14,6,0.5439,0
775,604,253,85,72,43,53,21,146,37,49,60,103,62,28,0.5257,0
776,261,89,12,33,17,27,2,42,17,28,20,31,32,6,0.6,0
777,149,57,12,23,8,14,3,27,12,15,14,23,14,6,0.5246,0
778,291,145,65,42,20,18,4,50,18,73,47,39,38,21,0.3833,0
779,599,254,77,90,39,48,8,116,50,80,81,69,67,37,0.3867,0
780,1122,390,72,126,75,117,23,256,64,47,15,83,197,95,0.7884,5
781,1394,465,77,135,93,160,35,349,46,35,18,99,235,113,0.7876,0
782,517,184,25,72,28,59,2,101,33,48,51,55,48,30,0.385,0
783,586,323,168,101,28,26,14,88,53,168,89,97,84,53,0.3887,9
784,1200,536,210,151,70,105,66,276,78,116,171,145,141,79,0.3839,0
785,122,50,16,14,7,13,1,24,6,19,16,14,13,7,0.381,0
786,229,106,44,30,14,18,10,50,14,32,34,28,28,16,0.3814,0
787,368,159,47,57,28,27,37,97,13,12,37,66,51,5,0.142,0
788,825,330,78,124,55,73,63,198,39,30,77,137,105,11,0.1457,0
789,114,42,8,14,9,11,2,25,9,6,10,20,11,1,0.3542,0
790,197,71,17,24,9,21,1,44,12,14,17,34,19,1,0.3462,0
791,389,131,29,36,23,43,15,66,18,32,31,62,35,3,0.3467,0
792,291,110,30,26,24,30,14,65,12,19,26,53,29,2,0.3571,0
793,264,104,30,28,23,23,13,57,16,18,24,50,28,2,0.3534,0
794,446,127,18,36,27,46,20,87,17,3,30,53,40,4,0.1507,47
795,216,78,21,16,18,23,8,51,8,11,18,37,21,2,0.3438,0
796,395,137,33,31,32,41,23,68,24,22,32,65,37,3,0.3537,0
797,354,120,23,35,21,41,8,88,15,9,29,25,51,15,0.3913,0
798,121,44,9,14,8,13,3,30,5,6,11,9,19,5,0.3939,0
799,2,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0
800,29,10,2,3,2,3,1,5,2,2,2,5,2,1,1,0
801,266,88,14,27,19,28,5,60,13,10,18,45,18,7,0.9855,0
802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
804,80,5,2,1,1,1,1,3,1,0,1,3,1,0,1,69
805,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214
806,64,27,12,6,5,4,1,15,5,6,6,14,5,2,1,0
807,182,61,11,15,14,21,3,38,10,10,13,31,12,5,0.9787,0
808,107,42,10,16,4,12,6,17,10,9,9,22,8,3,0.9714,0
809,250,96,23,37,15,21,2,53,20,21,36,26,31,3,0.4766,5
810,160,71,32,16,9,14,3,39,14,15,15,36,14,6,0.9783,0
811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
812,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0
813,28,7,0,2,1,4,0,6,1,0,4,1,2,0,0.4444,0
814,137,63,26,16,10,11,3,37,13,10,31,12,16,4,0.5294,0
815,181,62,9,24,10,19,11,34,8,9,31,12,16,3,0.5333,0
816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
817,55,24,10,5,4,5,3,17,3,1,9,6,8,1,0.5,0
818,107,54,24,17,6,7,4,26,10,14,20,15,17,2,0.4691,0
819,41,19,7,6,2,4,1,9,3,6,7,5,6,1,0.4643,0
820,379,134,34,37,24,39,15,70,25,24,50,37,43,4,0.4813,0
821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
822,563,290,150,71,31,38,43,159,43,45,107,80,93,10,0.48,0
823,473,183,62,46,32,43,19,104,31,29,50,56,47,30,0.3873,0
824,181,141,116,16,5,4,4,30,9,98,39,43,36,23,0.3878,0
825,195,123,84,18,9,12,11,54,31,27,34,37,32,20,0.3922,0
826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
827,53,20,5,5,4,6,5,10,3,2,7,5,5,3,0.5833,0
828,100,30,6,8,3,13,2,19,7,2,14,6,8,2,0.5263,0
829,179,69,20,20,11,18,5,45,10,9,34,13,18,4,0.5357,0
830,108,38,10,9,4,15,3,22,10,3,19,7,10,2,0.5435,0
831,54,18,7,2,2,7,1,8,8,1,9,3,5,1,0.5172,4
832,24,10,3,2,3,2,0,8,1,1,5,2,3,0,0.5,0
833,233,97,31,33,17,16,5,46,20,26,48,19,25,5,0.5323,0
834,21,14,8,5,1,0,1,4,2,7,6,3,4,1,0.5,0
835,174,66,22,15,10,19,10,36,12,8,22,17,16,11,0.6027,0
836,179,71,17,27,10,17,4,40,14,13,24,18,17,12,0.6092,0
837,87,30,5,12,6,7,0,18,3,9,10,8,7,5,0.5946,0
838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
839,223,61,15,17,15,14,2,32,10,17,17,18,16,10,0.3968,52
840,12,4,1,2,0,1,0,2,1,1,1,1,1,1,0.75,0
841,77,26,4,9,4,9,2,12,7,5,9,7,6,4,0.6364,0
842,171,67,11,31,11,14,11,33,15,8,22,17,16,12,0.6154,0
843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
844,72,30,6,14,4,6,0,13,10,7,14,6,8,2,0.5333,0
845,157,76,35,19,10,12,1,38,16,21,7,15,35,19,0.8182,0
846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
848,188,85,19,45,11,10,11,40,19,15,28,22,20,15,0.6,0
849,100,37,9,16,4,8,2,19,10,6,12,10,9,6,0.6042,11
850,97,46,12,23,5,6,1,11,12,22,15,12,11,8,0.5849,0
851,243,101,30,35,19,17,6,41,28,26,34,26,24,17,0.6014,0
852,227,87,10,42,17,18,0,48,16,23,24,26,23,14,0.3889,0
853,2,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
855,37,17,4,9,1,3,0,6,5,6,3,3,8,3,0.7273,0
856,712,289,75,103,41,70,9,161,54,65,44,54,130,61,0.7315,0
857,670,219,23,77,44,75,3,166,32,18,34,40,99,46,0.7323,0
858,21,8,2,2,2,2,0,3,4,1,1,2,3,2,0.8,0
859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,116,38,2,17,7,12,1,23,6,8,3,9,12,14,0.8519,0
861,38,14,2,6,2,4,0,6,3,5,1,3,4,6,0.875,0
862,12,4,1,1,1,1,0,2,1,1,0,1,1,2,0.8,0
863,6,3,1,1,1,0,0,0,1,2,0,1,1,1,0.75,0
864,8,3,1,1,1,0,2,1,0,0,0,1,1,1,0.75,0
865,32,11,2,5,2,2,1,5,2,3,1,2,4,4,0.8667,0
866,3,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0
867,7,2,0,0,0,2,0,2,0,0,0,0,1,1,0.8333,0
868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
869,45,29,13,16,0,0,0,6,11,12,5,5,13,6,1,0
870,77,35,12,14,3,6,3,14,7,11,5,7,16,7,0.7273,0
871,199,77,15,33,14,15,3,31,14,29,12,14,35,16,0.7286,0
872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
873,241,86,18,28,12,28,0,52,13,21,13,16,39,18,0.7273,0
874,2,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0
875,3,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0
876,3,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0
877,27,11,5,2,1,3,0,4,2,5,1,2,4,4,0.8667,0
878,8,3,0,2,0,1,0,1,1,1,0,1,1,1,1,0
879,20,7,1,3,1,2,1,2,2,2,1,1,2,3,0.8333,0
880,14,8,3,4,1,0,0,2,1,5,1,2,2,3,0.8333,0
881,15,6,1,3,0,2,0,1,2,3,1,1,2,2,0.8333,0
882,12,5,0,4,0,1,0,1,1,3,0,1,2,2,1,0
883,3,3,2,1,0,0,0,1,1,1,0,1,1,1,1,0
884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
885,4,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0
886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
887,11,4,1,1,0,2,0,2,1,1,0,1,2,1,0.6667,0
888,104,35,0,17,8,10,1,17,9,8,3,8,11,13,0.8444,0
889,180,69,11,27,16,15,0,32,13,24,11,13,31,14,0.7288,0
890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
891,170,62,10,26,12,14,3,26,15,18,5,14,20,23,0.8395,0
892,7,2,0,1,0,1,0,1,1,0,0,0,1,1,1,0
893,19,7,1,3,1,2,0,3,0,4,0,2,2,3,0.9,0
894,40,10,0,3,2,5,0,6,3,1,1,2,3,4,0.8889,0
895,7,2,0,1,0,1,0,2,0,0,0,0,1,1,1,0
896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
897,2,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0
898,10,4,0,3,1,0,0,1,1,2,0,1,1,2,0.75,0
899,10,4,0,3,1,0,0,1,1,2,0,1,1,2,0.75,0
900,36,15,4,5,2,4,0,6,4,5,1,3,5,6,0.8667,0
901,13,6,1,4,0,1,0,3,1,2,1,1,2,2,0.8889,0
