RT,SERIALNO,DIVISION,PUMA,REGION,ST,ADJHSG,ADJINC,WGTP,NP,TYPE,ACR,AGS,BDS,BLD,BUS,CONP,ELEP,FS,FULP,GASP,HFL,INSP,MHP,MRGI,MRGP,MRGT,MRGX,RMS,RNTM,RNTP,SMP,TEL,TEN,VACS,VAL,VEH,WATP,YBL,FES,FINCP,FPARC,GRNTP,GRPIP,HHL,HHT,HINCP,HUGCL,HUPAC,HUPAOC,HUPARC,KIT,LNGI,MV,NOC,NPF,NPP,NR,NRC,OCPIP,PARTNER,PLM,PSF,R18,R60,R65,RESMODE,SMOCP,SMX,SRNT,SVAL,TAXP,WIF,WKEXREL,WORKSTAT,FACRP,FAGSP,FBDSP,FBLDP,FBUSP,FCONP,FELEP,FFSP,FFULP,FGASP,FHFLP,FINSP,FKITP,FMHP,FMRGIP,FMRGP,FMRGTP,FMRGXP,FMVP,FPLMP,FRMSP,FRNTMP,FRNTP,FSMP,FSMXHP,FSMXSP,FTAXP,FTELP,FTENP,FVACSP,FVALP,FVEHP,FWATP,FYBLP,WGTP1,WGTP2,WGTP3,WGTP4,WGTP5,WGTP6,WGTP7,WGTP8,WGTP9,WGTP10,WGTP11,WGTP12,WGTP13,WGTP14,WGTP15,WGTP16,WGTP17,WGTP18,WGTP19,WGTP20,WGTP21,WGTP22,WGTP23,WGTP24,WGTP25,WGTP26,WGTP27,WGTP28,WGTP29,WGTP30,WGTP31,WGTP32,WGTP33,WGTP34,WGTP35,WGTP36,WGTP37,WGTP38,WGTP39,WGTP40,WGTP41,WGTP42,WGTP43,WGTP44,WGTP45,WGTP46,WGTP47,WGTP48,WGTP49,WGTP50,WGTP51,WGTP52,WGTP53,WGTP54,WGTP55,WGTP56,WGTP57,WGTP58,WGTP59,WGTP60,WGTP61,WGTP62,WGTP63,WGTP64,WGTP65,WGTP66,WGTP67,WGTP68,WGTP69,WGTP70,WGTP71,WGTP72,WGTP73,WGTP74,WGTP75,WGTP76,WGTP77,WGTP78,WGTP79,WGTP80,AGEHOH,HTYPE,NWESR,nuniv_schg,HHINCADJ,famTag,dupcount,n,hhnum
H,2006000029293,9,600,4,41,1081391,1098342,20,3,1,1,,3,2,2,0,120,2,2,110,1,690,,1,1500,1,1,8,,,,1,1,,20,2,700,5,1,133500,4,,,1,1,133500,0,4,4,4,1,1,3,0,3,0,0,0,16,0,1,0,0,0,0,1,1788,3,0,1,44,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,21,18,27,18,5,30,28,6,19,18,4,17,6,18,16,17,32,18,30,5,18,18,5,19,33,5,6,36,20,20,33,17,34,16,18,19,8,17,29,8,18,16,6,17,31,6,6,30,19,18,28,15,28,18,21,22,7,18,6,31,16,19,29,18,6,33,30,6,20,16,6,24,6,18,19,21,30,18,5,51,1,2,0,103276.61,1,1,1,11
H,2006000030116,9,600,4,41,1081391,1098342,37,5,1,1,,3,1,2,0,160,1,2,3,3,400,330,1,240,1,1,6,,,,1,1,,7,1,1200,3,2,21500,1,,,1,1,21500,0,1,1,1,1,1,1,3,5,0,0,3,29,0,1,0,1,0,0,2,528,3,0,0,6,1,7,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,55,37,40,64,70,37,73,65,47,38,40,33,68,35,64,41,59,77,34,13,8,38,37,12,13,39,13,12,42,41,39,33,10,44,10,35,11,11,44,13,12,36,40,11,13,39,13,14,38,42,41,39,12,42,12,36,11,9,37,66,55,38,36,58,69,36,64,54,41,40,34,37,66,36,66,38,80,62,46,24,3,1,0,16632.563,1,1,1,12
H,2006000030774,9,600,4,41,1081391,1098342,20,2,1,2,1,3,2,2,0,150,2,1000,3,4,1400,,,,,3,5,,,,1,2,,19,3,2,5,2,53200,4,,,1,1,53200,0,4,4,4,1,1,1,0,2,0,0,0,12,0,1,0,0,1,1,1,517,,0,1,32,1,6,3,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,19,8,31,6,6,18,16,27,27,8,19,21,18,6,19,17,19,34,17,31,18,6,27,4,8,16,20,29,30,7,19,19,17,6,20,21,17,30,19,31,18,6,33,6,6,20,19,28,32,6,19,20,18,6,18,21,17,36,19,29,17,6,37,6,6,20,21,29,31,6,17,18,19,6,15,19,18,37,19,32,50,1,1,0,41155.922,1,1,1,13
H,2006000035825,9,600,4,41,1081391,1098342,14,1,1,,,2,4,,0,50,2,2,3,3,,,,,,,5,2,650,,1,3,,,0,1,5,,,,700,60,1,6,14100,0,4,4,4,1,1,4,0,,0,0,0,,0,1,0,0,1,1,1,,,1,0,,0,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,14,8,26,13,20,14,6,13,4,21,14,7,6,15,14,15,14,15,5,6,14,22,6,14,5,14,20,15,24,6,16,21,27,18,14,16,13,14,21,21,15,4,21,16,34,18,6,12,5,26,16,4,5,15,14,16,15,14,5,5,16,26,4,15,5,15,23,14,24,5,17,25,23,13,16,13,16,17,28,83,2,0,0,10907.866,0,1,1,14
H,2006000036277,9,600,4,41,1081391,1098342,36,5,1,1,,4,2,2,0,70,2,2,50,1,600,,2,950,2,1,8,,,,1,1,,18,2,1200,3,1,80000,2,,,1,1,80000,0,2,2,2,1,1,4,3,5,0,0,3,21,0,1,0,1,0,0,1,1403,3,0,1,34,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,35,65,42,17,53,61,23,35,37,69,38,25,35,35,30,28,20,14,41,47,34,22,35,48,49,57,49,38,10,27,15,39,44,35,27,26,51,50,17,20,41,40,37,15,35,27,14,39,70,35,51,36,35,38,52,57,17,22,43,48,36,9,43,41,29,27,48,36,33,12,18,42,34,41,58,55,44,45,47,1,2,0,61888.605,1,1,1,15
H,2006000040556,9,600,4,41,1081391,1098342,20,1,1,3,1,3,1,2,0,80,2,200,3,3,0,0,,,,3,5,,,,1,2,,1,1,2,4,,,,,,1,4,12100,0,4,4,4,1,1,5,0,,0,0,0,10,0,1,0,0,1,1,2,104,,0,0,3,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,7,9,37,23,42,20,21,39,19,44,7,7,24,22,23,40,20,7,22,25,32,34,8,20,6,25,23,7,19,6,29,34,22,24,19,6,21,32,21,23,6,7,30,21,44,19,20,35,22,32,7,8,21,22,26,44,21,8,21,19,39,36,8,22,6,25,25,6,21,6,34,41,22,22,26,6,19,40,22,84,3,0,0,9360.6514,0,1,1,16
H,2006000041292,9,600,4,41,1081391,1098342,3,2,1,1,,3,2,2,0,80,2,2,60,1,1200,,1,1200,1,1,5,,,250,1,1,,16,2,50,2,7,63600,4,,,1,3,63600,0,4,4,4,1,1,3,0,2,0,0,0,30,0,1,0,0,0,0,1,1594,1,0,1,27,2,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,1,5,9,6,5,14,9,2,2,3,8,5,4,5,3,1,10,14,3,4,2,3,10,11,8,11,5,2,1,1,10,9,10,11,7,3,8,12,13,4,2,3,14,9,1,9,6,3,2,1,6,1,5,4,7,0,15,17,7,9,1,7,10,0,4,11,7,2,1,3,7,9,4,3,9,1,46,1,2,1,49201.441,1,2,1,17
H,2006000041292,9,600,4,41,1081391,1098342,3,2,1,1,,3,2,2,0,80,2,2,60,1,1200,,1,1200,1,1,5,,,250,1,1,,16,2,50,2,7,63600,4,,,1,3,63600,0,4,4,4,1,1,3,0,2,0,0,0,30,0,1,0,0,0,0,1,1594,1,0,1,27,2,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,1,5,9,6,5,14,9,2,2,3,8,5,4,5,3,1,10,14,3,4,2,3,10,11,8,11,5,2,1,1,10,9,10,11,7,3,8,12,13,4,2,3,14,9,1,9,6,3,2,1,6,1,5,4,7,0,15,17,7,9,1,7,10,0,4,11,7,2,1,3,7,9,4,3,9,1,46,1,2,1,49201.441,1,2,2,18
H,2006000042474,9,600,4,41,1081391,1098342,18,3,1,1,,2,2,2,0,20,2,2,40,1,330,,1,1200,1,1,5,,,,1,1,,17,1,460,7,2,54010,1,,,1,1,54010,0,1,1,1,1,1,2,1,3,0,0,1,29,0,1,0,1,0,0,1,1298,3,0,1,28,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,8,25,7,10,16,21,29,30,21,12,5,26,20,5,14,16,20,31,24,13,19,20,24,7,26,16,18,22,9,26,11,12,7,20,5,5,34,17,18,25,23,5,37,14,19,5,6,5,22,13,31,8,21,19,19,20,15,6,6,22,17,16,14,25,6,17,14,14,21,6,16,23,21,15,31,36,7,17,30,1,1,0,41782.543,1,1,1,19
H,2006000045626,9,600,4,41,1081391,1098342,42,4,1,1,,3,2,2,0,300,2,500,3,6,550,,1,890,1,1,5,,,,1,1,,14,2,70,7,1,47000,2,,,1,1,47000,0,2,2,2,1,1,4,1,4,0,0,1,32,0,1,0,1,0,0,2,1238,3,0,1,25,2,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,46,42,46,70,66,42,16,38,13,66,16,38,15,40,69,68,44,15,40,81,16,14,64,49,42,74,43,69,42,43,42,15,51,14,39,45,14,43,58,42,45,39,55,12,16,48,67,46,60,15,62,38,68,44,12,18,40,65,60,12,69,73,14,43,43,13,48,12,45,41,34,68,40,71,43,54,75,38,18,45,39,1,2,0,36359.555,1,1,1,20
