RT,SERIALNO,DIVISION,PUMA,REGION,ST,ADJHSG,ADJINC,WGTP,NP,TYPE,ACR,AGS,BDS,BLD,BUS,CONP,ELEP,FS,FULP,GASP,HFL,INSP,MHP,MRGI,MRGP,MRGT,MRGX,RMS,RNTM,RNTP,SMP,TEL,TEN,VACS,VAL,VEH,WATP,YBL,FES,FINCP,FPARC,GRNTP,GRPIP,HHL,HHT,HINCP,HUGCL,HUPAC,HUPAOC,HUPARC,KIT,LNGI,MV,NOC,NPF,NPP,NR,NRC,OCPIP,PARTNER,PLM,PSF,R18,R60,R65,RESMODE,SMOCP,SMX,SRNT,SVAL,TAXP,WIF,WKEXREL,WORKSTAT,FACRP,FAGSP,FBDSP,FBLDP,FBUSP,FCONP,FELEP,FFSP,FFULP,FGASP,FHFLP,FINSP,FKITP,FMHP,FMRGIP,FMRGP,FMRGTP,FMRGXP,FMVP,FPLMP,FRMSP,FRNTMP,FRNTP,FSMP,FSMXHP,FSMXSP,FTAXP,FTELP,FTENP,FVACSP,FVALP,FVEHP,FWATP,FYBLP,WGTP1,WGTP2,WGTP3,WGTP4,WGTP5,WGTP6,WGTP7,WGTP8,WGTP9,WGTP10,WGTP11,WGTP12,WGTP13,WGTP14,WGTP15,WGTP16,WGTP17,WGTP18,WGTP19,WGTP20,WGTP21,WGTP22,WGTP23,WGTP24,WGTP25,WGTP26,WGTP27,WGTP28,WGTP29,WGTP30,WGTP31,WGTP32,WGTP33,WGTP34,WGTP35,WGTP36,WGTP37,WGTP38,WGTP39,WGTP40,WGTP41,WGTP42,WGTP43,WGTP44,WGTP45,WGTP46,WGTP47,WGTP48,WGTP49,WGTP50,WGTP51,WGTP52,WGTP53,WGTP54,WGTP55,WGTP56,WGTP57,WGTP58,WGTP59,WGTP60,WGTP61,WGTP62,WGTP63,WGTP64,WGTP65,WGTP66,WGTP67,WGTP68,WGTP69,WGTP70,WGTP71,WGTP72,WGTP73,WGTP74,WGTP75,WGTP76,WGTP77,WGTP78,WGTP79,WGTP80,AGEHOH,HTYPE,NWESR,nuniv_schg,HHINCADJ,famTag,dupcount,n,hhnum
H,2007000259411,9,600,4,41,1051560,1069212,18,1,1,1,,3,3,2,0,100,2,260,3,6,,,,,,,6,2,500,,1,3,,,2,2,7,,,,622,57,1,4,13200,0,4,4,4,1,1,3,0,,0,0,0,,0,1,0,0,0,0,1,,,1,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,17,18,31,16,29,18,19,19,5,18,7,17,15,7,17,25,7,6,32,27,18,17,27,20,29,18,20,19,7,18,7,20,19,6,19,28,5,6,7,7,17,17,5,19,6,18,18,18,29,20,25,18,21,32,23,6,30,34,6,6,16,20,6,16,6,15,17,20,27,17,29,18,15,28,18,5,28,29,31,42,4,1,0,9940.8047,0,1,1,1095
H,2007000260202,9,600,4,41,1051560,1069212,27,1,1,2,1,3,2,2,0,90,2,2,3,3,300,,,,,3,7,,,,1,2,,20,1,2,3,,,,,,1,4,75300,0,4,4,4,1,1,5,0,,0,0,0,6,0,1,0,0,0,0,2,390,,0,1,45,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,22,28,35,25,10,23,30,12,35,34,55,28,13,25,6,41,15,38,11,10,21,32,33,23,18,36,43,9,30,27,30,27,11,27,11,28,14,40,13,8,13,29,14,25,27,41,18,8,31,27,32,31,11,40,14,38,30,40,8,11,21,23,28,32,24,35,16,5,33,32,32,28,9,32,15,35,30,40,41,1,1,0,56707.773,0,1,1,1096
H,2007000264883,9,600,4,41,1051560,1069212,13,1,1,1,,3,2,2,0,30,2,130,120,1,270,,1,570,1,1,6,,,,1,1,,17,1,690,2,,,,,,1,6,22010,0,4,4,4,1,1,3,0,,0,0,0,43,0,1,0,0,1,1,1,789,3,0,1,35,0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12,10,12,11,11,5,14,24,4,12,4,13,21,13,18,4,11,20,20,4,13,12,13,13,14,20,14,5,21,13,20,14,3,14,5,18,12,3,5,18,13,12,13,12,14,4,14,21,5,12,5,12,21,16,23,7,14,17,20,5,12,14,13,11,13,22,12,3,22,12,19,14,4,12,3,21,13,3,4,66,1,0,0,16575.539,0,1,1,1097
H,2007000265373,9,600,4,41,1051560,1069212,14,2,1,1,,2,3,2,0,20,2,2,40,1,350,,1,900,1,1,4,,,,1,1,,15,2,500,2,5,55000,4,,,1,2,55000,0,4,4,4,1,1,4,0,2,0,0,0,22,0,1,0,0,0,0,2,1002,3,0,1,26,2,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,18,5,6,13,23,5,23,15,20,15,15,17,13,5,29,16,17,22,15,17,22,12,15,19,16,15,14,25,6,5,5,4,27,15,13,4,29,16,6,29,17,6,5,15,25,4,24,17,16,17,15,13,15,6,24,14,13,25,13,16,27,14,16,23,16,16,16,22,4,6,6,4,19,15,15,6,27,15,6,50,4,2,0,41420.02,1,1,1,1098
H,2007000266574,9,600,4,41,1051560,1069212,18,1,1,1,,3,2,2,0,30,2,840,10,1,310,,,,,3,5,,,,1,2,,15,2,460,6,,,,,,1,4,15800,0,4,4,4,1,1,3,0,,0,0,0,26,0,1,0,0,1,1,1,341,,0,1,32,0,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,6,29,39,6,18,31,7,7,18,19,35,17,18,21,17,32,19,20,17,32,32,6,6,31,19,6,34,30,20,18,5,20,21,17,16,6,19,22,19,35,32,6,8,30,20,6,36,31,19,20,5,21,19,21,19,4,19,18,16,7,6,30,32,6,23,33,7,7,19,18,32,20,20,17,18,33,17,23,66,1,0,0,11898.843,0,1,1,1099
H,2007000268086,9,600,4,41,1051560,1069212,52,4,1,2,1,3,1,2,0,150,2,2,3,3,500,190,2,410,2,1,5,,,,1,1,,10,3,2,5,7,28600,2,,,1,3,43600,0,2,2,2,1,1,3,2,3,0,1,2,18,0,1,0,1,0,0,2,643,3,0,0,8,1,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,69,26,63,70,23,24,63,34,45,94,51,66,40,40,60,19,67,19,57,29,74,24,58,84,23,29,79,38,52,93,59,92,50,39,47,23,60,14,92,83,54,15,47,74,16,14,71,75,40,67,70,97,56,55,60,17,36,21,67,62,56,16,48,90,16,17,109,81,53,74,66,63,53,58,53,16,44,15,95,35,3,2,0,32834.781,1,1,1,1100
H,2007000268728,9,600,4,41,1051560,1069212,23,1,1,2,2,3,2,2,0,2,2,2,3,1,500,,,,,3,6,,,,1,2,,20,1,2,8,,,,,,1,6,17500,0,4,4,4,1,1,4,0,,0,0,0,19,0,1,0,0,1,1,2,275,,0,1,40,0,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,23,8,21,21,25,42,23,23,8,36,6,7,22,23,41,38,8,26,24,21,43,22,7,7,7,21,39,6,25,26,23,21,34,39,21,21,21,38,8,8,24,38,19,25,22,8,24,22,38,6,35,41,23,21,7,8,32,23,23,21,8,23,37,37,37,24,8,45,23,20,20,22,8,8,23,23,25,9,31,39,66,1,0,0,13179.098,0,1,1,1101
H,2007000268837,9,600,4,41,1051560,1069212,17,2,1,1,,2,2,2,0,180,2,2,3,3,,,,,,,4,2,650,,1,3,,,2,700,4,5,12000,2,888,89,2,2,12000,0,2,2,2,1,1,1,1,2,0,0,1,,0,1,0,1,0,0,2,,,1,0,,1,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,32,13,5,4,17,13,17,14,14,22,19,4,27,20,27,17,6,6,13,35,6,13,27,27,17,17,17,17,13,4,16,24,4,17,5,16,24,32,17,5,22,15,6,6,14,15,17,15,14,29,14,5,21,14,19,20,8,6,18,23,6,14,22,23,13,15,19,15,13,4,17,24,6,18,2,16,29,27,44,1,1,0,9037.0957,1,1,1,1102
H,2007000269279,9,600,4,41,1051560,1069212,7,3,1,3,6,4,2,2,0,1,2,2,1,4,,,,,,,7,2,1000,,1,3,,,6,2,8,4,84100,4,1000,14,1,1,84100,0,4,4,4,1,1,3,0,3,0,0,0,,0,1,0,0,0,0,1,,,0,0,,2,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,4,6,15,6,15,13,23,17,26,15,28,15,17,6,15,15,6,28,23,14,16,15,21,15,6,28,17,25,15,7,15,6,24,17,6,6,15,14,17,4,25,22,17,27,17,15,6,17,6,18,6,13,17,24,15,15,26,6,6,15,19,18,6,15,26,6,17,6,13,22,15,23,7,17,26,21,16,15,18,48,1,1,1,63334.977,1,2,1,1103
H,2007000269279,9,600,4,41,1051560,1069212,7,3,1,3,6,4,2,2,0,1,2,2,1,4,,,,,,,7,2,1000,,1,3,,,6,2,8,4,84100,4,1000,14,1,1,84100,0,4,4,4,1,1,3,0,3,0,0,0,,0,1,0,0,0,0,1,,,0,0,,2,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,4,6,15,6,15,13,23,17,26,15,28,15,17,6,15,15,6,28,23,14,16,15,21,15,6,28,17,25,15,7,15,6,24,17,6,6,15,14,17,4,25,22,17,27,17,15,6,17,6,18,6,13,17,24,15,15,26,6,6,15,19,18,6,15,26,6,17,6,13,22,15,23,7,17,26,21,16,15,18,48,1,1,1,63334.977,1,2,2,1104
H,2007000272855,9,600,4,41,1051560,1069212,16,5,1,3,1,4,2,2,0,150,2,530,3,6,300,,1,1700,1,1,9,,,,1,1,,22,3,2,4,2,82000,3,,,2,1,82000,0,3,3,3,1,1,4,3,5,0,0,3,28,0,1,0,1,0,0,1,1894,3,0,0,42,1,3,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,12,6,18,5,24,24,19,13,19,5,15,27,13,24,24,7,18,13,23,16,18,25,24,19,6,5,14,15,13,26,14,5,15,5,4,22,24,17,24,20,15,20,16,27,8,6,20,14,15,25,16,5,14,4,7,25,14,12,5,15,17,6,14,4,22,30,16,17,19,5,15,29,16,23,24,6,17,17,46,1,1,0,61753.488,1,1,1,1105
H,2007000273223,9,600,4,41,1051560,1069212,6,2,1,,,1,9,,0,1,2,2,1,1,,,,,,,2,2,530,,1,3,,,2,1,3,,,,530,101,1,5,6000,0,4,4,4,2,1,2,0,,0,1,0,,0,2,0,0,0,0,1,,,1,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5,13,4,13,11,5,17,4,21,28,16,14,16,5,10,25,13,21,27,17,5,14,5,17,15,3,13,5,22,26,14,11,12,4,15,25,13,21,22,13,23,13,22,17,13,21,14,18,4,6,14,12,14,23,14,3,13,5,5,13,29,13,25,13,14,24,13,23,4,4,11,15,14,24,13,4,16,4,6,17,19,2,0,2,4518.5479,0,2,1,1106
H,2007000273223,9,600,4,41,1051560,1069212,6,2,1,,,1,9,,0,1,2,2,1,1,,,,,,,2,2,530,,1,3,,,2,1,3,,,,530,101,1,5,6000,0,4,4,4,2,1,2,0,,0,1,0,,0,2,0,0,0,0,1,,,1,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5,13,4,13,11,5,17,4,21,28,16,14,16,5,10,25,13,21,27,17,5,14,5,17,15,3,13,5,22,26,14,11,12,4,15,25,13,21,22,13,23,13,22,17,13,21,14,18,4,6,14,12,14,23,14,3,13,5,5,13,29,13,25,13,14,24,13,23,4,4,11,15,14,24,13,4,16,4,6,17,19,2,0,2,4518.5479,0,2,2,1107
H,2007000274196,9,600,4,41,1051560,1069212,15,2,1,1,,3,2,2,0,50,2,2,40,1,580,,1,3000,1,1,4,,,,1,1,,18,1,1200,3,7,61000,2,,,1,3,61000,0,2,2,2,1,1,4,1,2,0,0,1,63,0,1,0,1,0,0,1,3190,3,0,1,38,1,13,13,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,29,12,4,15,15,6,16,21,22,24,19,15,14,13,17,6,4,6,22,17,22,14,4,15,14,4,18,23,31,23,14,15,17,14,17,4,3,4,5,16,5,13,27,11,14,21,13,5,4,6,14,12,16,18,17,21,25,26,5,13,4,16,22,18,16,27,15,4,6,4,12,13,17,16,13,26,29,21,28,48,1,1,0,45938.57,1,1,1,1108
H,2007000274362,9,600,4,41,1051560,1069212,35,2,1,1,,4,2,2,0,60,2,2,40,1,2000,,2,850,2,1,7,,,,1,1,,18,2,500,5,4,10920,4,,,1,1,10920,0,4,4,4,1,1,6,0,2,0,0,0,101,0,1,0,0,2,2,1,1376,3,0,1,38,0,9,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,38,13,29,47,37,57,34,40,11,57,11,13,32,39,52,67,10,34,49,39,40,12,37,36,34,61,35,36,15,53,12,12,36,36,69,58,9,33,54,31,37,12,37,41,40,59,30,38,12,46,10,11,31,43,69,63,11,37,55,44,39,12,41,36,46,56,33,33,11,57,12,11,33,35,60,55,12,38,60,71,1,0,0,8223.7568,1,1,1,1109
H,2007000277392,9,600,4,41,1051560,1069212,3,2,1,1,,3,2,2,0,150,2,50,40,6,420,,2,1300,2,1,5,,,220,1,1,,15,3,60,5,3,93000,4,,,2,1,93000,0,4,4,4,1,1,4,0,2,0,0,0,25,0,1,0,0,0,0,1,1900,2,0,1,29,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,4,3,1,3,2,5,6,3,3,4,1,2,6,3,4,6,3,2,4,2,2,2,1,3,0,6,7,3,3,3,1,3,8,3,5,6,5,4,3,4,3,2,5,2,6,2,1,4,4,3,6,3,2,4,2,1,3,4,3,5,3,3,5,3,5,1,2,4,3,5,6,3,2,3,1,2,2,47,1,1,0,70037.492,1,1,1,1110
H,2007000277845,9,600,4,41,1051560,1069212,14,2,1,1,,3,1,2,0,80,2,2,3,3,280,4000,,,,3,5,,,,1,2,,8,2,1,4,4,29800,4,,,1,1,29800,0,4,4,4,1,1,5,0,2,0,0,0,18,0,1,0,0,2,2,1,453,,0,0,6,0,9,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,14,7,14,16,4,12,26,4,6,26,14,11,24,16,26,15,14,5,14,23,14,20,16,17,22,14,6,25,21,6,16,17,6,13,4,13,16,26,17,5,15,5,15,17,4,19,26,4,5,25,14,13,23,17,26,14,13,4,11,24,16,27,13,15,32,14,6,28,20,6,16,14,5,15,4,12,15,26,93,3,0,0,22442.121,1,1,1,1111
H,2007000279024,9,600,4,41,1051560,1069212,24,2,1,,,2,4,,0,70,1,2,3,3,,,,,,,4,2,470,,1,3,,,2,1,5,7,14700,4,540,44,1,3,14700,0,4,4,4,1,1,5,0,2,0,0,0,,0,1,0,0,1,0,1,,,1,0,,1,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,32,22,9,9,34,10,17,25,41,38,39,22,25,11,40,37,4,24,35,7,33,34,24,26,24,25,9,31,27,24,20,9,49,24,24,11,18,8,18,27,32,29,37,28,9,53,23,23,8,8,8,21,21,34,11,27,30,25,11,31,7,9,26,35,30,27,34,11,19,29,18,32,8,28,31,43,22,32,26,63,2,1,0,11070.442,1,1,1,1112
H,2007000279279,9,600,4,41,1051560,1069212,14,6,1,1,,2,2,2,0,70,2,2,130,1,650,,,,,3,5,,,,1,2,,14,1,700,5,4,73400,1,,,1,1,73400,1,1,4,1,1,1,3,0,6,0,0,2,7,0,1,1,1,2,2,1,437,,0,1,27,2,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,21,23,11,17,14,19,4,24,13,3,4,4,13,23,6,15,15,16,16,12,5,4,12,16,12,3,20,4,11,25,24,23,16,4,26,13,16,13,17,13,6,5,14,16,15,4,21,5,13,23,26,20,12,4,27,12,13,13,13,13,25,23,11,13,13,20,3,21,15,5,4,4,12,21,6,17,16,12,18,70,1,2,0,55276.902,1,1,1,1113
H,2007000281424,9,600,4,41,1051560,1069212,6,3,1,,,2,7,,0,60,2,2,3,3,,,,,,,4,2,700,,1,3,,,0,1,5,,,,760,101,1,7,6200,0,4,4,4,1,1,1,0,,0,1,0,,0,1,0,0,0,0,1,,,1,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,16,4,14,24,15,4,4,11,13,4,24,15,23,28,13,21,4,12,11,15,14,6,13,20,13,5,4,13,12,5,26,16,20,20,13,22,5,13,16,13,13,22,13,4,16,21,25,12,15,25,4,14,4,4,14,4,23,15,11,13,14,26,14,6,15,21,19,14,13,25,4,15,4,4,11,5,23,16,20,2,1,3,4669.166,0,2,1,1114
H,2007000281424,9,600,4,41,1051560,1069212,6,3,1,,,2,7,,0,60,2,2,3,3,,,,,,,4,2,700,,1,3,,,0,1,5,,,,760,101,1,7,6200,0,4,4,4,1,1,1,0,,0,1,0,,0,1,0,0,0,0,1,,,1,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,16,4,14,24,15,4,4,11,13,4,24,15,23,28,13,21,4,12,11,15,14,6,13,20,13,5,4,13,12,5,26,16,20,20,13,22,5,13,16,13,13,22,13,4,16,21,25,12,15,25,4,14,4,4,14,4,23,15,11,13,14,26,14,6,15,21,19,14,13,25,4,15,4,4,11,5,23,16,20,2,1,3,4669.166,0,2,2,1115
H,2007000281493,9,600,4,41,1051560,1069212,14,2,1,1,,2,3,2,0,120,2,2,3,3,,,,,,,4,2,570,,1,3,,,1,480,5,7,24000,2,730,37,1,3,24000,0,1,1,1,1,1,2,1,2,0,0,1,,0,1,0,1,0,0,2,,,1,0,,1,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,29,11,22,46,11,11,44,29,29,40,36,52,26,38,23,8,42,9,44,28,28,9,28,43,9,11,51,33,38,51,35,48,32,32,31,8,34,10,7,36,21,48,37,9,53,49,6,35,22,10,26,9,27,27,37,57,22,40,11,35,27,42,31,9,55,53,10,23,23,10,29,10,28,22,31,47,24,42,33,28,4,1,1,18074.191,1,2,1,1116
H,2007000281493,9,600,4,41,1051560,1069212,14,2,1,1,,2,3,2,0,120,2,2,3,3,,,,,,,4,2,570,,1,3,,,1,480,5,7,24000,2,730,37,1,3,24000,0,1,1,1,1,1,2,1,2,0,0,1,,0,1,0,1,0,0,2,,,1,0,,1,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,29,11,22,46,11,11,44,29,29,40,36,52,26,38,23,8,42,9,44,28,28,9,28,43,9,11,51,33,38,51,35,48,32,32,31,8,34,10,7,36,21,48,37,9,53,49,6,35,22,10,26,9,27,27,37,57,22,40,11,35,27,42,31,9,55,53,10,23,23,10,29,10,28,22,31,47,24,42,33,28,4,1,1,18074.191,1,2,2,1117
H,2007000282244,9,600,4,41,1051560,1069212,9,1,1,1,,3,2,2,0,100,2,2,100,1,1200,,1,2000,1,1,7,,,200,2,1,,21,2,1000,5,,,,,,1,4,31200,0,4,4,4,1,1,4,0,,0,0,0,96,0,1,0,0,0,0,1,2483,2,0,1,50,0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,12,12,3,13,13,6,4,10,16,10,11,4,10,25,3,6,3,6,11,5,10,1,23,13,4,1,8,13,13,7,10,11,8,4,17,14,10,4,3,19,7,6,3,5,15,15,10,6,10,6,10,4,13,22,3,18,2,8,16,4,11,3,16,11,4,5,6,5,7,7,10,13,11,3,21,15,14,11,1,33,1,1,0,23496.449,0,1,1,1118
H,2007000283849,9,600,4,41,1051560,1069212,9,1,1,1,,1,2,2,0,50,2,2,10,1,400,,,,,3,3,,,,1,2,,14,1,300,8,,,,,,1,4,22000,0,4,4,4,1,1,5,0,,0,0,0,16,0,1,0,0,0,0,1,285,,0,1,32,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,14,7,10,3,9,14,12,4,4,7,15,4,13,16,21,18,9,8,2,21,10,10,10,17,6,3,8,15,23,7,10,14,5,9,4,5,9,4,12,3,13,9,16,3,12,14,12,5,3,6,13,3,17,17,24,13,7,11,4,19,10,14,11,19,9,3,6,10,21,9,9,16,5,9,3,4,10,9,56,1,1,0,16568.008,0,1,1,1119
H,2007000284490,9,600,4,41,1051560,1069212,5,2,1,1,,3,1,2,0,140,2,2,3,3,200,4500,,,,3,5,,,,1,2,,4,1,1,4,4,25120,4,,,1,1,25120,0,4,4,4,1,1,5,0,2,0,0,0,25,0,1,0,0,2,2,1,532,,0,0,1,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,8,10,6,6,5,2,5,7,7,11,7,2,5,3,6,6,3,5,5,9,1,1,6,7,5,8,6,2,5,3,2,9,6,8,6,5,8,6,6,7,3,3,7,6,4,9,5,2,6,3,1,8,5,9,6,5,9,4,3,2,8,9,5,5,6,3,6,10,6,9,8,1,4,2,5,6,1,5,84,3,0,0,18917.654,1,1,1,1120
H,2007000285079,9,600,4,41,1051560,1069212,18,2,1,2,1,3,2,2,0,90,2,90,20,4,450,,2,1100,2,1,6,,,350,1,1,,20,2,2,3,1,93250,4,,,1,1,93250,0,4,4,4,1,1,5,0,2,0,0,0,23,0,1,0,0,0,0,1,1819,4,0,1,37,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,31,25,18,31,19,8,6,6,16,20,18,18,17,27,27,26,16,36,27,17,5,17,19,7,18,30,30,26,19,16,17,18,19,6,6,4,14,6,6,18,27,15,23,34,17,6,6,8,16,17,14,19,16,23,31,30,17,28,26,18,4,18,18,6,18,31,26,28,18,19,20,17,20,4,6,4,16,6,47,1,2,0,70225.766,1,1,1,1121
H,2007000287323,9,600,4,41,1051560,1069212,29,2,1,,,2,6,,0,50,2,2,3,3,,,,,,,4,2,800,,1,3,,,2,1,7,,,,850,101,1,7,2800,0,4,4,4,1,1,1,0,,0,1,0,,0,1,0,0,0,0,2,,,1,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,16,69,60,54,59,23,64,15,72,19,15,19,15,52,63,18,18,61,93,61,59,99,96,86,97,68,106,51,106,65,56,59,61,118,98,57,56,92,65,19,16,49,64,64,65,18,56,21,55,22,20,17,21,66,67,21,19,54,100,74,63,101,95,82,92,65,106,59,101,45,57,47,63,105,91,54,51,118,68,21,2,1,2,2108.6555,0,2,1,1122
H,2007000287323,9,600,4,41,1051560,1069212,29,2,1,,,2,6,,0,50,2,2,3,3,,,,,,,4,2,800,,1,3,,,2,1,7,,,,850,101,1,7,2800,0,4,4,4,1,1,1,0,,0,1,0,,0,1,0,0,0,0,2,,,1,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,16,69,60,54,59,23,64,15,72,19,15,19,15,52,63,18,18,61,93,61,59,99,96,86,97,68,106,51,106,65,56,59,61,118,98,57,56,92,65,19,16,49,64,64,65,18,56,21,55,22,20,17,21,66,67,21,19,54,100,74,63,101,95,82,92,65,106,59,101,45,57,47,63,105,91,54,51,118,68,21,2,1,2,2108.6555,0,2,2,1123
H,2007000287518,9,600,4,41,1051560,1069212,23,2,1,2,2,3,2,2,0,100,2,2,3,6,600,,,,,3,7,,,,1,2,,19,3,2,6,4,36800,4,,,1,1,36800,0,4,4,4,1,1,7,0,2,0,0,0,10,0,1,0,0,2,2,1,308,,0,1,31,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,30,7,23,24,23,31,19,21,10,43,11,8,26,28,36,39,9,23,35,28,28,7,22,26,22,37,20,21,10,39,8,7,23,27,39,45,8,24,40,22,21,7,25,20,29,40,23,22,7,39,11,8,25,22,40,37,9,25,33,23,21,9,22,20,24,47,24,24,8,38,9,10,20,17,39,34,9,25,40,68,1,0,0,27713.76,1,1,1,1124
H,2007000288368,9,600,4,41,1051560,1069212,22,1,1,1,,2,2,2,0,20,2,2,150,1,,,,,,,4,2,300,,1,3,,,1,480,1,,,,510,77,1,4,8000,0,4,4,4,1,1,1,0,,0,0,0,,0,1,0,0,0,0,2,,,1,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,78,43,69,64,13,14,43,39,40,56,85,16,40,45,64,63,16,45,35,60,15,39,19,18,77,62,46,44,47,53,14,60,33,47,50,14,79,40,48,14,79,44,73,66,14,14,35,43,58,46,74,15,47,50,41,59,15,51,44,69,16,35,15,13,55,70,41,45,56,42,17,59,49,56,43,15,65,56,52,11,21,1,1,1,6024.7305,0,2,1,1125
H,2007000288368,9,600,4,41,1051560,1069212,22,1,1,1,,2,2,2,0,20,2,2,150,1,,,,,,,4,2,300,,1,3,,,1,480,1,,,,510,77,1,4,8000,0,4,4,4,1,1,1,0,,0,0,0,,0,1,0,0,0,0,2,,,1,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,78,43,69,64,13,14,43,39,40,56,85,16,40,45,64,63,16,45,35,60,15,39,19,18,77,62,46,44,47,53,14,60,33,47,50,14,79,40,48,14,79,44,73,66,14,14,35,43,58,46,74,15,47,50,41,59,15,51,44,69,16,35,15,13,55,70,41,45,56,42,17,59,49,56,43,15,65,56,52,11,21,1,1,1,6024.7305,0,2,2,1126
