TAZ,POPBASE,HHBASE,HHSIZE1,HHSIZE2,HHSIZE3,HHSIZE4,HHAGE1,HHAGE2,HHAGE3,HHAGE4,HHINC1,HHINC2,HHINC3,HHINC4,OSUFAM,OSUNFAM,STATEFP,COUNTYFP,TRACTCE,TRACTGEOID,PUMA,REGION,MAZ,xTAZ
156,186,76,17,35,9,15,2,27,15,32,11,8,24,33,12,39,41,3,900,41003000900,600,1,57,6
157,470,196,40,84,38,34,15,72,45,64,28,22,62,84,28,123,41,3,900,41003000900,600,1,58,6
158,229,92,15,38,22,17,9,40,21,22,41,22,11,18,13,62,41,3,1002,41003001002,600,1,59,8
159,280,128,37,52,22,17,11,68,27,22,30,14,74,10,18,61,41,3,1002,41003001002,600,1,60,8
160,405,159,39,55,29,36,7,73,32,47,37,18,92,12,24,68,41,3,1002,41003001002,600,1,61,8
161,48,11,1,5,2,3,1,6,3,1,3,1,6,1,2,3,41,3,1002,41003001002,600,1,62,8
162,92,34,7,11,5,11,1,19,3,11,8,4,20,2,5,15,41,3,1002,41003001002,600,1,63,8
165,505,245,114,67,24,40,70,141,21,13,132,75,25,13,33,151,41,3,1001,41003001001,600,1,64,7
166,371,157,38,66,27,26,7,71,27,52,27,46,45,39,23,80,41,3,1002,41003001002,600,1,65,8
167,343,147,42,58,25,22,18,84,30,15,25,43,42,37,22,87,41,3,1002,41003001002,600,1,66,8
168,506,224,68,81,38,37,76,104,30,14,39,65,64,56,29,128,41,3,1002,41003001002,600,1,67,8
169,139,60,19,22,8,11,4,29,14,13,10,18,17,15,9,31,41,3,1002,41003001002,600,1,68,8
170,746,317,70,142,48,57,103,129,37,48,140,76,38,63,47,271,41,3,1002,41003001002,600,1,69,8
173,231,115,57,49,4,5,67,42,3,3,69,4,32,10,14,115,41,3,1101,41003001101,600,1,70,9
178,534,231,66,89,30,46,126,83,14,8,75,30,74,52,33,186,41,3,1102,41003001102,600,1,71,10
179,68,34,9,17,7,1,12,15,3,4,6,11,12,5,4,21,41,3,1102,41003001102,600,1,72,10
180,471,186,47,64,31,44,19,92,37,38,35,59,64,28,27,112,41,3,1102,41003001102,600,1,73,10
181,18,10,3,6,1,0,2,3,3,2,2,3,3,2,1,4,41,3,1102,41003001102,600,1,74,10
182,402,172,41,76,27,28,40,71,39,22,57,22,55,38,27,172,41,3,1102,41003001102,600,1,75,10
183,527,251,85,105,31,30,96,113,25,17,130,49,42,30,34,219,41,3,1102,41003001102,600,1,76,10
184,159,69,16,32,9,12,14,34,12,9,13,22,24,10,9,45,41,3,1102,41003001102,600,1,77,10
185,147,50,20,17,6,7,14,30,1,5,10,16,17,7,6,31,41,3,1102,41003001102,600,1,78,10
186,4,4,4,0,0,0,1,2,1,0,1,1,1,1,0,1,41,3,1102,41003001102,600,1,79,10
187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3,600,41003000600,600,1,80,5
188,46,21,7,10,0,4,7,11,2,1,11,6,1,3,3,18,41,3,10600,41003010600,600,1,81,15
189,203,114,58,35,13,8,20,60,22,12,60,33,7,14,12,63,41,3,10600,41003010600,600,1,82,15
190,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,41,3,10600,41003010600,600,1,83,15
191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3,10600,41003010600,600,1,84,15
192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3,10600,41003010600,600,1,85,15
193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3,10600,41003010600,600,1,86,15
194,7,7,7,0,0,0,3,4,0,0,4,2,0,1,0,2,41,3,10600,41003010600,600,1,87,15
195,8,5,2,3,0,0,5,0,0,0,3,1,0,1,0,3,41,3,10600,41003010600,600,1,88,15
196,301,164,104,44,8,8,66,56,7,35,85,32,27,20,17,135,41,3,1102,41003001102,600,1,89,10
197,129,48,18,12,7,11,18,28,1,1,25,9,8,6,8,60,41,3,1102,41003001102,600,1,90,10
198,280,104,47,29,10,18,48,45,7,4,55,20,17,12,16,132,41,3,1102,41003001102,600,1,91,10
199,217,55,24,14,7,10,45,10,0,0,39,11,4,1,6,55,41,3,1102,41003001102,600,1,92,10
200,124,32,16,7,5,4,15,9,4,4,23,6,2,1,5,42,41,3,1102,41003001102,600,1,93,10
201,261,114,52,25,11,26,80,30,4,0,81,23,8,2,19,161,41,3,1102,41003001102,600,1,94,10
202,1061,282,65,118,27,72,221,47,10,4,195,47,40,0,50,378,41,3,1101,41003001101,600,1,95,9
203,554,45,19,5,9,12,31,10,3,1,27,1,13,4,8,64,41,3,1101,41003001101,600,1,96,9
204,286,103,30,35,15,23,26,34,15,28,34,18,35,16,14,129,41,3,10702,41003010702,600,1,97,16
205,505,233,103,59,30,41,51,56,27,99,76,41,80,36,26,242,41,3,10702,41003010702,600,1,98,16
206,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,41,3,10702,41003010702,600,1,99,16
207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3,10702,41003010702,600,1,100,16
208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3,10702,41003010702,600,1,101,16
209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3,10600,41003010600,600,1,102,15
210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3,10600,41003010600,600,1,103,15
211,7,6,5,1,0,0,1,3,2,0,2,3,1,0,0,3,41,3,10600,41003010600,600,1,104,15
212,368,128,32,34,18,44,91,33,1,3,46,58,13,11,19,172,41,3,10600,41003010600,600,1,105,15
213,211,132,72,49,4,7,102,28,1,1,47,60,14,11,14,111,41,3,10600,41003010600,600,1,106,15
214,295,133,52,52,13,16,79,38,9,7,47,60,14,12,20,166,41,3,10600,41003010600,600,1,107,15
